"Wavelength, nm",Intensity
136.44237175216523,1.924413542147201e-26
136.53333333333333,1.594127161459328e-26
136.62441627751835,2.646346723559572e-26
136.71562082777035,2.561674411978043e-26
136.80694722778892,2.882710269518735e-26
136.89839572192514,3.4145049676142126e-26
136.98996655518394,4.0189612468664e-26
137.08165997322624,5.69413515337475e-26
137.17347622237108,3.158094587740165e-25
137.26541554959786,2.970957318378799e-24
137.35747820254863,4.0915836120454954e-23
137.4496644295302,3.836065655832563e-22
137.54197447951645,2.2081385662895834e-21
137.63440860215053,9.86304929252375e-21
137.72696704774717,4.8394620876456354e-20
137.81965006729476,2.6969023092315747e-19
137.9124579124579,1.357455490795839e-18
138.0053908355795,5.637038005426639e-18
138.09844908968307,1.9534426868728625e-17
138.19163292847506,5.807447320258004e-17
138.28494260634707,1.5189009495981012e-16
138.37837837837836,3.5797118147431907e-16
138.47194050033806,7.770545153364877e-16
138.5656292286874,1.584189625846537e-15
138.65944482058225,3.091059806575251e-15
138.75338753387533,5.858308241222928e-15
138.84745762711862,1.0818634956020714e-14
138.94165535956583,1.933912396180047e-14
139.03598099117448,3.3270697525552325e-14
139.1304347826087,5.510451093945071e-14
139.22501699524133,8.8216682616902e-14
139.31972789115645,1.3719559839793883e-13
139.4145677331518,2.0872507610661354e-13
139.50953678474113,3.1375100129733366e-13
139.60463531015677,4.707180659995815e-13
139.69986357435198,7.09306565064763e-13
139.79522184300342,1.0757825318532273e-12
139.89071038251367,1.6415322226892403e-12
139.98632946001365,2.5157254140478464e-12
140.08207934336525,3.8667957777938345e-12
140.17796030116358,5.961077492097745e-12
140.27397260273972,9.219981209404921e-12
140.37011651816314,1.4294061165754026e-11
140.46639231824417,2.2167258497292192e-11
140.56280027453673,3.4304394233914525e-11
140.65934065934067,5.282875662641633e-11
140.75601374570448,8.07077796143361e-11
140.85281980742778,1.2194044083019568e-10
140.949759119064,1.8174067813437896e-10
141.04683195592284,2.6670085707921194e-10
141.14403859407307,3.8489001568365176e-10
141.24137931034483,5.457398581307753e-10
141.33885438233264,7.596255244816758e-10
141.4364640883978,1.0371122056271187e-09
141.53420870767104,1.3877787473175144e-09
141.6320885200553,1.819294731731219e-09
141.73010380622836,2.3375311891209188e-09
141.8282548476454,2.9473085958916824e-09
141.92654192654192,3.6542838137205725e-09
142.0249653259362,4.469589528735177e-09
142.1235253296322,5.418640404698282e-09
142.22222222222223,6.555881279740765e-09
142.32105628908963,7.987802475845295e-09
142.42002781641168,9.90560663855843e-09
142.51913709116212,1.2623536244760524e-08
142.6183844011142,1.6619313058304175e-08
142.7177700348432,2.257442491962828e-08
142.81729428172943,3.1407798657870394e-08
142.91695743196092,4.430232087224951e-08
143.0167597765363,6.271063441673723e-08
143.11670160726763,8.832162227853259e-08
143.21678321678323,1.2298912982598315e-07
143.31700489853043,1.6860166852040156e-07
143.4173669467787,2.2688007177980868e-07
143.5178696566223,2.991195946041314e-07
143.61851332398317,3.8589620791715953e-07
143.71929824561403,4.867793824069103e-07
143.8202247191011,6.00063591660058e-07
143.92129304286718,7.225829490988585e-07
144.0225035161744,8.497260374423015e-07
144.12385643912737,9.757011950002167e-07
144.22535211267606,1.0941243543675904e-06
144.32699083861874,1.1989072282442862e-06
144.42877291960508,1.2855281236436079e-06
144.530698659139,1.3528363610230644e-06
144.6327683615819,1.4050028948521264e-06
144.73498233215545,1.4535705627024384e-06
144.83734087694484,1.519826137402705e-06
144.9398443029016,1.6364776816336566e-06
145.04249291784703,1.8483454474997096e-06
145.14528703047483,2.2131691374955172e-06
145.24822695035462,2.801130049880166e-06
145.35131298793468,3.692122122164071e-06
145.45454545454544,4.974277956253794e-06
145.55792466240226,6.742180112506382e-06
145.66145092460883,9.091478990845195e-06
145.76512455516016,1.211902983792652e-05
145.86894586894587,1.5926891559260853e-05
145.9729151817534,2.0617121135470865e-05
146.07703281027102,2.629729396755449e-05
146.18129907209135,3.310103881575647e-05
146.28571428571428,4.118247800012034e-05
146.39027877055037,5.071845607510314e-05
146.49499284692416,6.195062349993929e-05
146.59985683607732,7.516441970793301e-05
146.7048710601719,9.065196080194282e-05
146.8100358422939,0.00010878933452756847
146.91535150645623,0.0001300020809298035
147.0208183776023,0.00015461697642356014
147.1264367816092,0.000183001894844442
147.23220704529115,0.0002155956348117621
147.33812949640287,0.0002524688905558153
147.4442044636429,0.00029344976140992327
147.55043227665706,0.00033885269935848166
147.6568132660418,0.00038923386150017416
147.76334776334778,0.0004443132929503506
147.87003610108303,0.0005027925640659768
147.97687861271675,0.0005640556959381089
148.08387563268258,0.0006303025267747681
148.19102749638205,0.0007048256599781412
148.29833454018825,0.0007878189395275092
148.40579710144928,0.0008781521519005766
148.51341551849166,0.0009781237389025897
148.6211901306241,0.0010919547296934845
148.72912127814087,0.0012252881372981496
148.8372093023256,0.001387312342644267
148.94545454545454,0.0015831243852498721
149.0538573508006,0.0018124091461976298
149.16241806263656,0.0020864255737807276
149.27113702623907,0.0024244639570297974
149.38001458789202,0.0028310795558886045
149.4890510948905,0.003308892296584095
149.59824689554418,0.003877815571121921
149.70760233918128,0.004549394042679032
149.81711777615214,0.005317499086118495
149.9267935578331,0.006190805512519019
150.03663003663004,0.007191241783868427
150.1466275659824,0.008328234086186128
150.25678650036684,0.00960034893654917
150.36710719530103,0.010994964452370273
150.47759000734754,0.012497787055171437
150.58823529411762,0.014119277176502252
150.69904341427517,0.015850577958976805
150.8100147275405,0.01761970313556157
150.92114959469419,0.019390795425067935
151.03244837758112,0.021218610721819818
151.1439114391144,0.0230859533439116
151.25553914327915,0.024820041369458475
151.3673318551367,0.026305049732921644
151.47928994082838,0.027654810027180007
151.59141376757958,0.028986687386519983
151.7037037037037,0.030062776280401587
151.81616011860638,0.030485678519182022
151.92878338278933,0.030392728099762397
152.04157386785448,0.030401157823327075
152.15453194650817,0.030454446396170086
152.26765799256503,0.02956103799979805
152.38095238095235,0.02748784789033628
152.4944154877141,0.025644326865911247
152.6080476900149,0.024915437051933262
152.72184936614468,0.02376784940356612
152.8358208955224,0.020655792930076123
152.9499626587005,0.017331452376824708
153.0642750373692,0.01659191376301151
153.1787584143605,0.017154493314937715
153.29341317365268,0.015144204154052836
153.40823970037454,0.011273528971218435
153.5232383808096,0.010850399491549567
153.6384096024006,0.014363375790602113
153.75375375375376,0.014964183697222303
153.86927122464311,0.010107747739851238
153.98496240601503,0.007936603446378202
154.10082768999246,0.013824963394385152
154.2168674698795,0.01854445909911742
154.33308214016577,0.012596601510445537
154.4494720965309,0.005237835530353111
154.56603773584905,0.011113111539288479
154.68277945619334,0.022612582457930294
154.79969765684052,0.019466970961508158
154.91679273827532,0.005826838914317507
155.0340651021953,0.008317699328662434
155.15151515151516,0.029576055542270253
155.2691432903715,0.03724223474014803
155.38694992412746,0.017677167878273888
155.50493545937738,0.0058278345232144636
155.62310030395136,0.029770161532506
155.74144486692012,0.05758671979935118
155.8599695585997,0.04523100844003517
155.97867479055597,0.012763556497506068
156.09756097560975,0.015652524210107363
156.21662852784135,0.05250014371707484
156.33587786259542,0.06518225051630613
156.45530939648586,0.0346876416256769
156.5749235474006,0.012438828090553855
156.69472073450652,0.03450365441039412
156.8147013782542,0.06390095977159892
156.93486590038313,0.055634599380994965
157.05521472392638,0.029178089786214386
157.17574827321565,0.02883369613448787
157.29646697388634,0.05014342497878326
157.4173712528824,0.056525879206846624
157.53846153846155,0.04341226224183242
157.65973826020013,0.03718464755041277
157.78120184899845,0.04480103479507953
157.9028527370856,0.04823561097739179
158.02469135802468,0.04264436146754581
158.14671814671814,0.04196767453966759
158.26893353941267,0.04841642087767066
158.39133797370457,0.048922104301498924
158.5139318885449,0.04202545771937638
158.63671572424477,0.040456423506472855
158.7596899224806,0.046261490100326166
158.88285492629947,0.04760153272663255
159.0062111801242,0.0412087937230503
159.12975912975912,0.03685894750917375
159.25349922239502,0.038546524077535706
159.37743190661476,0.03935383126316728
