"Omega, /s",Intensity
239135452881006.75,3.749043573793129e-41
248332970299507.0,1.8295026205145645e-41
257530487718007.28,8.43814376057513e-41
266728005136507.53,4.490562306329914e-41
275925522555007.78,2.265347287437592e-40
285123039973508.06,1.1377931105892628e-40
294320557392008.3,8.249276454126356e-40
303518074810508.56,1.3539542858955048e-39
312715592229008.8,1.8894675370348088e-40
321913109647509.06,1.0378349969709439e-38
331110627066009.4,7.302151539038887e-39
340308144484509.6,5.732029666732678e-39
349505661903009.9,4.579087383150014e-38
358703179321510.1,4.993053609805912e-38
367900696740010.4,8.538461321708853e-38
377098214158510.6,1.951932945832761e-37
386295731577010.94,4.117172064698584e-37
395493248995511.2,7.77974256030689e-37
404690766414011.44,2.519386456985548e-37
413888283832511.7,5.2433407846200194e-37
423085801251011.94,1.870045777874721e-35
432283318669512.2,1.4771528555142259e-35
441480836088012.5,1.7967008645965976e-34
450678353506512.75,6.243183032030429e-34
459875870925013.0,1.5117182790512264e-33
469073388343513.25,2.6446367506450945e-34
478270905762013.5,1.9040968260013015e-34
487468423180513.75,7.885084335556184e-34
496665940599014.0,5.319683968616294e-34
505863458017514.3,8.190047242593435e-34
515060975436014.56,8.7617673657691e-34
524258492854514.8,9.484839007211777e-34
533456010273015.06,8.72533665144293e-34
542653527691515.3,7.862303493829086e-34
551851045110015.56,2.7353705037196328e-33
561048562528515.9,4.821191060783206e-33
570246079947016.1,3.6078967437084866e-34
579443597365516.4,3.142113339570006e-33
588641114784016.6,5.051611677587423e-33
597838632202516.9,2.9299642708059487e-35
607036149621017.1,4.78722318514992e-33
616233667039517.4,1.812072317833985e-33
625431184458017.6,2.069089289151452e-33
634628701876517.9,1.1978761005050469e-32
643826219295018.1,6.569603240266198e-33
653023736713518.5,7.077198340182585e-33
662221254132018.8,5.69606436687175e-33
671418771550519.0,2.0574014275682207e-32
680616288969019.2,2.3252260383831914e-32
689813806387519.5,2.402365578986861e-32
699011323806019.8,1.55491925938028e-32
708208841224520.0,4.1042612875465554e-32
717406358643020.2,2.4220511905549113e-32
726603876061520.5,6.800372533015158e-32
735801393480020.8,6.711564467514861e-32
744998910898521.0,1.1327699766706464e-31
754196428317021.2,6.979803215618279e-32
763393945735521.5,1.3600104083156025e-31
