"Wavelength, nm",Intensity
136.44237175216523,1.2150072048693002e-25
136.53333333333333,1.3023001781004928e-25
136.62441627751835,1.492977011382604e-25
136.71562082777035,1.5486962118490878e-25
136.80694722778892,2.062846763111284e-25
136.89839572192514,2.3115336904714484e-25
136.98996655518394,2.7816808808853375e-25
137.08165997322624,2.675609627791985e-25
137.17347622237108,4.099679334838683e-25
137.26541554959786,1.9755425150399866e-23
137.35747820254863,1.3630984095486055e-22
137.4496644295302,7.550468913257465e-22
137.54197447951645,2.7992609109625164e-21
137.63440860215053,6.736828016025831e-21
137.72696704774717,3.1416110413854884e-20
137.81965006729476,2.2534985232642344e-19
137.9124579124579,1.02946771110189e-18
138.0053908355795,2.880590874105839e-18
138.09844908968307,5.591672864406891e-18
138.19163292847506,7.459813438877211e-18
138.28494260634707,5.6321044259357e-18
138.37837837837836,3.4358755478589084e-18
138.47194050033806,9.155014454580299e-18
138.5656292286874,2.071975119012814e-17
138.65944482058225,2.4608395915365897e-17
138.75338753387533,1.790136341237503e-17
138.84745762711862,1.6093482524696833e-17
138.94165535956583,3.767190679828742e-17
139.03598099117448,6.565111326273493e-17
139.1304347826087,1.7716634777241455e-17
139.22501699524133,7.9439781575343e-17
139.31972789115645,7.154084104317641e-16
139.4145677331518,1.8806209795682852e-15
139.50953678474113,3.2287549342317143e-15
139.60463531015677,4.8986746959252884e-15
139.69986357435198,7.112528800765004e-15
139.79522184300342,8.688620118142865e-15
139.89071038251367,8.250317910210174e-15
139.98632946001365,7.134399206806018e-15
140.08207934336525,9.654706631604658e-15
140.17796030116358,1.6297657355851052e-14
140.27397260273972,1.9970506407386994e-14
140.37011651816314,1.47462009655418e-14
140.46639231824417,5.786341678781852e-15
140.56280027453673,9.108154967236478e-16
140.65934065934067,2.3976172466680558e-16
140.75601374570448,7.429682348037771e-16
140.85281980742778,6.568865005561521e-16
140.949759119064,1.7808074140132309e-16
141.04683195592284,5.313260868998068e-17
141.14403859407307,1.5905886327127457e-15
141.24137931034483,5.026054713882967e-15
141.33885438233264,6.9649700049779545e-15
141.4364640883978,6.071626188844497e-15
141.53420870767104,3.7069432863955506e-15
141.6320885200553,1.3092343490734756e-15
141.73010380622836,2.812975466992787e-17
141.8282548476454,2.4063691381993073e-15
141.92654192654192,1.0541918054125058e-14
142.0249653259362,1.801344993115872e-14
142.1235253296322,1.7344970559590123e-14
142.22222222222223,1.250979962356865e-14
142.32105628908963,1.0798093669638768e-14
142.42002781641168,1.2611986069743969e-14
142.51913709116212,1.3913652726877773e-14
142.6183844011142,1.1383470909234361e-14
142.7177700348432,5.6994770540782655e-15
142.81729428172943,1.1105659426707706e-15
142.91695743196092,2.5211372930894344e-15
143.0167597765363,9.107405889046908e-15
143.11670160726763,1.6029716403514135e-14
143.21678321678323,2.0463360524299143e-14
143.31700489853043,2.1304148996281978e-14
143.4173669467787,1.3869490447854742e-14
143.5178696566223,6.976568512650896e-15
143.61851332398317,1.3097814463964703e-14
143.71929824561403,2.4716194679721098e-14
143.8202247191011,2.960211515449951e-14
143.92129304286718,1.8111456050054226e-14
144.0225035161744,1.5616896768195386e-15
144.12385643912737,8.718332567640591e-15
144.22535211267606,2.1651355266272905e-14
144.32699083861874,1.1224951480837406e-14
144.42877291960508,9.070697994292079e-16
144.530698659139,2.0108532093803568e-14
144.6327683615819,5.6372334996298923e-14
144.73498233215545,3.935205336052121e-14
144.83734087694484,8.378505755472144e-15
144.9398443029016,1.0695933641616426e-14
145.04249291784703,7.080005659665029e-14
145.14528703047483,8.583557489149055e-14
145.24822695035462,5.137778083780625e-14
145.35131298793468,8.803964110925426e-14
145.45454545454544,4.182766071602457e-14
145.55792466240226,3.188176631327183e-14
145.66145092460883,2.9076147681818905e-14
145.76512455516016,8.532897637781026e-14
145.86894586894587,4.0745098019400333e-13
145.9729151817534,3.891501504663705e-14
146.07703281027102,6.449297913867219e-13
146.18129907209135,1.016068234698022e-12
146.28571428571428,2.535199268413616e-13
146.39027877055037,8.84420369940644e-14
146.49499284692416,2.1126496359862426e-12
146.59985683607732,4.95581666206733e-12
146.7048710601719,1.7807970580420191e-12
146.8100358422939,6.38772125901633e-13
146.91535150645623,1.3849416599371624e-11
147.0208183776023,6.349101178736836e-11
147.1264367816092,1.111054577456622e-10
147.23220704529115,8.76680478869942e-11
147.33812949640287,9.781295723992443e-11
147.4442044636429,2.975929829317151e-10
147.55043227665706,5.934771907841658e-10
147.6568132660418,5.850900383855146e-10
147.76334776334778,3.4674270384026635e-10
147.87003610108303,6.854944162714513e-10
147.97687861271675,1.7953337157161363e-09
148.08387563268258,2.9601960875460073e-09
148.19102749638205,3.10541368011957e-09
148.29833454018825,1.1168910740928213e-09
148.40579710144928,2.726329577699842e-10
148.51341551849166,9.291874099958381e-10
148.6211901306241,5.216026540706198e-09
148.72912127814087,1.3011708424514969e-08
148.8372093023256,1.003232592963532e-08
148.94545454545454,8.260324571039439e-09
149.0538573508006,1.4139258080495327e-08
149.16241806263656,8.793492338219234e-09
149.27113702623907,2.8221101215068046e-09
149.38001458789202,1.1030797703917406e-09
149.4890510948905,2.8258549464335447e-09
149.59824689554418,9.426558928437534e-09
149.70760233918128,7.624954685487048e-09
149.81711777615214,1.1220775987631201e-08
149.9267935578331,1.7300787807891894e-08
150.03663003663004,8.635986256599045e-09
150.1466275659824,9.898451216961952e-09
150.25678650036684,1.8916301479128076e-08
150.36710719530103,1.0692530075834032e-08
150.47759000734754,4.238719239812807e-09
150.58823529411762,2.2474495785787306e-08
150.69904341427517,4.731774100142507e-08
150.8100147275405,6.475289463764815e-08
150.92114959469419,8.327380834696506e-08
151.03244837758112,8.507142765023542e-08
151.1439114391144,8.625037684487869e-08
151.25553914327915,1.3818113979698769e-07
151.3673318551367,1.9957189917853621e-07
151.47928994082838,2.5699295974558854e-07
151.59141376757958,3.9397791831775626e-07
151.7037037037037,5.32730891977551e-07
151.81616011860638,5.588670299530446e-07
151.92878338278933,7.158795378495636e-07
152.04157386785448,1.255175535471453e-06
152.15453194650817,1.9616610956448705e-06
152.26765799256503,2.739875137633259e-06
152.38095238095235,4.067734062714136e-06
152.4944154877141,6.116505499209511e-06
152.6080476900149,8.339163913259362e-06
152.72184936614468,1.0542288250293021e-05
152.8358208955224,1.298313468955558e-05
152.9499626587005,1.5214984701015101e-05
153.0642750373692,1.689002927691977e-05
153.1787584143605,1.9120422884284854e-05
153.29341317365268,2.308925867676835e-05
153.40823970037454,2.9499532500246893e-05
153.5232383808096,3.975196540086782e-05
153.6384096024006,5.417876716109347e-05
153.75375375375376,7.179997725983692e-05
153.86927122464311,9.377356441887423e-05
153.98496240601503,0.00012049983905948813
154.10082768999246,0.00014685650667909582
154.2168674698795,0.00017019216470431955
154.33308214016577,0.000206146879214516
154.4494720965309,0.00029097761990702127
154.56603773584905,0.0004511575789053383
154.68277945619334,0.0006863628656487964
154.79969765684052,0.0010375133503259433
154.91679273827532,0.0016094668281050456
155.0340651021953,0.0024018700939641446
155.15151515151516,0.0032133437992465166
155.2691432903715,0.00384015470305062
155.38694992412746,0.004304014206819345
155.50493545937738,0.00488973302899008
155.62310030395136,0.005756243973615128
155.74144486692012,0.006213384537966224
155.8599695585997,0.00535480517694867
155.97867479055597,0.004132624323944098
156.09756097560975,0.00451350983783098
156.21662852784135,0.005564604278794619
156.33587786259542,0.004373441867060801
156.45530939648586,0.0016775034915349294
156.5749235474006,0.0009708312634007279
156.69472073450652,0.00202030875538547
156.8147013782542,0.0017533461517511744
156.93486590038313,0.00033813324673262815
157.05521472392638,0.00013423712212425737
157.17574827321565,0.0008614622702468298
157.29646697388634,0.0007590474434805856
157.4173712528824,0.0001208788736940065
157.53846153846155,0.0005042832642193412
157.65973826020013,0.0019422485796527227
157.78120184899845,0.0026648835940509766
157.9028527370856,0.0017078610605219013
158.02469135802468,0.0007551105354882411
158.14671814671814,0.0016978639310483276
158.26893353941267,0.003406628267295873
158.39133797370457,0.0035122091722596975
158.5139318885449,0.0021791874839907676
158.63671572424477,0.0015597923475750351
158.7596899224806,0.0025612439774594722
158.88285492629947,0.003949327787758515
159.0062111801242,0.004171451784529467
159.12975912975912,0.0032517971809122334
159.25349922239502,0.002654917164459031
159.37743190661476,0.003315372601604673
159.50155763239874,0.004477105563188479
159.62587685113016,0.004846447866534756
159.7503900156006,0.004213430895782724
159.87509758001562,0.0034701521484185706
160.0,0.0034388864945378824
160.12509773260362,0.00401930064932552
