"Omega, /s",Intensity
901356707013025.5,5.120654617905596e-33
910554224431525.8,1.4310777263207711e-32
919751741850026.0,2.3553262504359308e-32
928949259268526.2,2.2283679677039648e-32
938146776687026.5,3.5583679940903894e-32
947344294105526.8,2.4592189337401163e-32
956541811524027.0,2.6328632205900625e-33
965739328942527.2,8.947783177351604e-32
974936846361027.5,2.3487935538874641e-32
984134363779527.8,7.671969558978874e-33
993331881198028.0,1.1608019502315416e-31
1002529398616528.4,1.5646733916973396e-31
1011726916035028.6,9.635083949490579e-33
1020924433453528.9,4.001936105270537e-31
1030121950872029.1,2.4946243286553417e-31
1039319468290529.4,1.3832752050423613e-31
1048516985709029.6,6.062199860539378e-31
1057714503127529.9,4.006691394338191e-31
1066912020546030.1,2.180611099728595e-31
1076109537964530.4,1.3655979200840523e-30
1085307055383030.6,5.699684629907429e-31
1094504572801530.9,4.368894682389646e-31
1103702090220031.1,2.7529018053640726e-30
1112899607638531.4,1.106299859113878e-30
1122097125057031.8,1.0369762758933931e-30
1131294642475532.0,6.429357833300538e-30
1140492159894032.2,1.6366474970632477e-30
1149689677312532.5,2.593702078045914e-30
1158887194731032.8,1.2837186652091588e-29
1168084712149533.0,2.7563448709936485e-30
1177282229568033.2,6.490056717715863e-30
1186479746986533.5,2.6291064603773576e-29
1195677264405033.8,4.8416976169679654e-30
1204874781823534.0,1.8994002121766795e-29
1214072299242034.2,5.140784415332592e-29
1223269816660534.5,6.156726358068658e-30
1232467334079034.8,4.428765612878006e-29
1241664851497535.0,1.044344526778407e-28
1250862368916035.2,6.533149124544806e-30
1260059886334535.5,1.0605363139748324e-28
1269257403753035.8,1.9151844461455193e-28
1278454921171536.0,7.841385385111019e-30
1287652438590036.2,2.5214992126601865e-28
1296849956008536.8,3.3740465963049193e-28
1306047473427037.0,1.1843872138845878e-29
1315244990845537.2,5.403865478942499e-28
1324442508264037.5,5.7730263095477855e-28
1333640025682537.8,4.1042762808435165e-29
1342837543101038.0,1.11957846438561e-27
1352035060519538.2,9.328727052152249e-28
1361232577938038.5,1.4135483536729546e-28
1370430095356538.8,2.248526082471338e-27
1379627612775039.0,1.429930237866533e-27
1388825130193539.2,4.502364119628767e-28
1398022647612039.5,4.3214852511578156e-27
1407220165030539.8,2.0903672753272113e-27
1416417682449040.0,1.2414808742913333e-27
1425615199867540.2,8.159718652259099e-27
1434812717286040.5,2.9350206727802583e-27
1444010234704540.8,3.283527510086494e-27
1453207752123041.0,1.506029339779785e-26
1462405269541541.2,3.8094177273087946e-27
1471602786960041.5,8.117250019753699e-27
1480800304378541.8,2.7343075092386385e-26
1489997821797042.0,4.388544343775949e-27
1499195339215542.2,1.9318020227397074e-26
1508392856634042.5,4.8099031351053215e-26
1517590374052542.8,4.305588675495638e-27
1526787891471043.0,4.428278137116744e-26
1535985408889543.5,8.197398493906158e-26
1545182926308043.8,3.3292485966278415e-27
1554380443726544.0,9.754472828513133e-26
1563577961145044.2,1.329616097087237e-25
1572775478563544.5,3.8931227696932625e-27
1581972995982044.8,2.0481757171861354e-25
1591170513400545.0,2.0289293235126664e-25
1600368030819045.2,1.6292191379436597e-26
1609565548237545.5,4.0962848829150303e-25
1618763065656045.8,2.8565075775853286e-25
1627960583074546.0,7.11427123297605e-26
1637158100493046.2,7.7428107608779e-25
1646355617911546.5,3.6241260770954484e-25
1655553135330046.8,2.412688555913839e-25
1664750652748547.0,1.3787558229024898e-24
1673948170167047.2,3.9963014653518667e-25
1683145687585547.5,6.760488866349941e-25
1692343205004047.8,2.300784151245486e-24
1701540722422548.0,3.6204886675356224e-25
1710738239841048.2,1.6460913555127875e-24
1719935757259548.5,3.5772236290415374e-24
1729133274678048.8,2.5616550554540234e-25
1738330792096549.0,3.581716588793208e-24
1747528309515049.2,5.14957092836116e-24
1756725826933549.5,2.243570491182257e-25
1765923344352050.0,7.09181188831811e-24
1775120861770550.2,6.792679551042779e-24
1784318379189050.5,7.096930548016735e-25
1793515896607550.8,1.291290880142029e-23
1802713414026051.0,8.075890452669148e-24
1811910931444551.2,2.69259282349105e-24
1821108448863051.5,2.175593075143912e-23
1830305966281551.8,8.430674661698661e-24
1839503483700052.0,7.971235389773137e-24
1848701001118552.2,3.4021064148511785e-23
1857898518537052.5,7.386310619921556e-24
1867096035955552.8,1.9418641788016826e-23
1876293553374053.0,4.9407647571680635e-23
1885491070792553.2,5.08646091409875e-24
1894688588211053.5,4.1061035509201993e-23
1903886105629553.8,6.642283762623035e-23
1913083623048054.0,3.2474805570620033e-24
1922281140466554.2,7.803361701609322e-23
1931478657885054.5,8.207275923417234e-23
1940676175303554.8,6.319053779220389e-24
1949873692722055.0,1.3520470299286612e-22
1959071210140555.2,9.231851060691084e-23
1968268727559055.5,2.3519262024708542e-23
1977466244977555.8,2.187678904377213e-22
1986663762396056.0,9.069982984664178e-23
1995861279814556.2,6.924470040758749e-23
2005058797233056.8,3.256786790973435e-22
2014256314651557.0,7.998224778942088e-23
2023453832070057.2,1.750830501557865e-22
2032651349488557.5,4.662927996866086e-22
2041848866907057.8,4.424878841540152e-23
2051046384325558.0,3.374165498537989e-22
2060243901744058.2,6.126665416038758e-22
2069441419162558.5,4.08229888830613e-23
2078638936581058.8,7.846694403103249e-22
2087836453999559.0,7.110283073864689e-22
2097033971418059.2,3.020951986409543e-23
2106231488836559.5,9.803506393304282e-22
2115429006255059.8,1.1812255840154642e-21
2124626523673560.0,5.792887468047588e-22
2133824041092060.2,3.435579307673538e-21
2143021558510560.5,3.3665499996273595e-22
2152219075929060.8,6.605069808147754e-22
2161416593347561.0,2.467767108020338e-21
2170614110766061.2,4.5815152185366544e-21
2179811628184561.5,7.881773254655398e-21
2189009145603061.8,1.138248192603781e-20
2198206663021562.0,1.4079096745014367e-20
2207404180440062.2,3.067635220303852e-21
2216601697858562.5,4.8139816129064437e-20
2225799215277062.8,1.5533642318289649e-19
2234996732695563.0,1.6415759912968888e-19
2244194250114063.5,1.0934561827302504e-19
2253391767532563.5,1.7842561070934637e-19
2262589284951064.0,3.554532314120667e-20
2271786802369564.0,3.2557957524787367e-19
2280984319788064.5,2.709730251511901e-19
2290181837206564.5,8.301103573927879e-19
2299379354625065.0,1.6555133488937673e-18
2308576872043565.0,1.6437459904319673e-19
2317774389462065.5,9.264450215717098e-18
2326971906880565.5,1.2226803485338791e-17
2336169424299066.0,4.8714963107401725e-18
2345366941717566.0,1.1237010762540189e-17
2354564459136066.5,3.3544234120113727e-18
2363761976554567.0,9.398872577964752e-19
2372959493973067.0,1.4279868561235435e-18
2382157011391567.5,8.136488460662442e-18
2391354528810067.5,1.409325731106857e-17
2400552046228568.0,6.05046675186619e-18
2409749563647068.0,1.990969474704704e-18
2418947081065568.5,2.9336502269143077e-18
2428144598484068.5,2.081010458960975e-19
2437342115902569.0,2.120606322356366e-20
2446539633321069.0,3.0412701307127065e-21
2455737150739569.5,1.4462946420381584e-20
2464934668158069.5,8.581183829590529e-21
2474132185576570.0,5.0591310086675246e-20
2483329702995070.0,1.1043206287276324e-19
2492527220413570.5,1.0431414620451266e-19
2501724737832070.5,7.854349914673045e-21
2510922255250571.0,2.774031611261946e-20
2520119772669071.0,9.4405585434998e-21
2529317290087571.5,2.9327357607375057e-24
2538514807506071.5,1.256036736898921e-21
2547712324924572.0,1.9350020564222627e-21
2556909842343072.0,1.579311967320242e-22
2566107359761572.5,2.424710210199407e-22
2575304877180072.5,4.863393117303449e-22
2584502394598573.0,5.9376366059164805e-22
2593699912017073.5,3.6130943849166924e-23
2602897429435573.5,1.2746762422804861e-22
2612094946854074.0,1.1852791009398977e-22
2621292464272574.0,1.3405379556184094e-22
2630489981691074.5,1.6569898163407791e-22
2639687499109574.5,2.044383511306972e-23
2648885016528075.0,6.117307383904727e-23
2658082533946575.0,4.706418275959143e-23
2667280051365075.5,1.217679916630566e-23
2676477568783575.5,4.6906829449059263e-23
2685675086202076.0,3.315241649415726e-23
2694872603620576.0,8.328969046545211e-24
2704070121039076.5,4.23613005032653e-23
2713267638457576.5,1.246291799666148e-23
2722465155876077.0,1.0176066786703852e-23
2731662673294577.0,2.30619464463154e-23
