"Omega, /s",Intensity
239135452881006.75,4.3169976723484897e-41
248332970299507.0,4.776883996834588e-41
257530487718007.28,9.111176303461458e-42
266728005136507.53,1.1547613501640474e-40
275925522555007.78,4.0488268964140174e-41
285123039973508.06,5.545593774369311e-41
294320557392008.3,9.89966391785182e-41
303518074810508.56,4.243837331518666e-41
312715592229008.8,1.160248790089964e-40
321913109647509.06,2.5270115187575094e-40
331110627066009.4,2.1667632200727768e-39
340308144484509.6,1.8729680709621676e-39
349505661903009.9,5.075786235834189e-40
358703179321510.1,2.540502988867629e-38
367900696740010.4,2.804807557205315e-38
377098214158510.6,8.247007115393914e-38
386295731577010.94,7.232298305114441e-37
395493248995511.2,3.2346457662513727e-37
404690766414011.44,3.206742540139019e-36
413888283832511.7,8.64230716136632e-36
423085801251011.94,3.710723854614761e-36
432283318669512.2,1.7567328567740704e-35
441480836088012.5,2.624636934846873e-34
450678353506512.75,8.234870657484062e-34
459875870925013.0,6.4918708270347945e-34
469073388343513.25,2.7536371765997573e-34
478270905762013.5,8.179998708907394e-35
487468423180513.75,4.542030522277387e-34
496665940599014.0,6.747325738185286e-34
505863458017514.3,7.162578290722414e-34
515060975436014.56,8.03313119915255e-34
524258492854514.8,9.183022880552411e-35
533456010273015.06,6.902455631611122e-34
542653527691515.3,1.7243044301086266e-34
551851045110015.56,9.147403805019279e-34
561048562528515.9,5.279486018398249e-34
570246079947016.1,2.8558316731877092e-33
579443597365516.4,1.2271654414564305e-33
588641114784016.6,2.5227961664783903e-34
597838632202516.9,1.6746690730137934e-33
607036149621017.1,3.7032270608330775e-34
616233667039517.4,4.534713301405823e-33
625431184458017.6,2.4698551243074788e-33
634628701876517.9,3.505380848883633e-34
643826219295018.1,1.6600994621061994e-32
653023736713518.5,6.745086906850269e-33
662221254132018.8,3.5910573321137735e-33
671418771550519.0,6.344973997858468e-33
680616288969019.2,7.790135039640814e-33
689813806387519.5,6.174818311515342e-33
699011323806019.8,2.7713954076946323e-32
708208841224520.0,9.904260278509367e-33
717406358643020.2,1.7665776686323834e-32
726603876061520.5,7.564883539483175e-32
735801393480020.8,4.860180499699511e-34
744998910898521.0,5.189982142587658e-32
754196428317021.2,9.171833651792941e-32
763393945735521.5,3.516833431209416e-33
772591463154021.9,2.1972379565608294e-31
781788980572522.1,1.5611433028707725e-31
790986497991022.4,3.1949593674022534e-32
800184015409522.6,3.2711367920497813e-31
809381532828022.9,1.7901938140820915e-31
818579050246523.1,6.023280693546252e-32
827776567665023.4,8.555374739273312e-31
836974085083523.6,2.103571403676999e-31
846171602502023.9,3.6637778668914786e-31
855369119920524.1,1.5735867947381644e-30
864566637339024.4,2.104607291166846e-31
873764154757524.6,1.3797332306054759e-30
882961672176025.0,2.4427968660773766e-30
892159189594525.2,8.876260969105039e-32
901356707013025.5,3.174386251114133e-30
910554224431525.8,4.24036078268248e-30
919751741850026.0,2.6400088968489887e-31
928949259268526.2,7.31556472470039e-30
938146776687026.5,5.442257935269689e-30
947344294105526.8,1.4611518227348918e-30
956541811524027.0,1.5248112293302772e-29
965739328942527.2,5.908151947890103e-30
974936846361027.5,5.8867540325714136e-30
984134363779527.8,2.7903318708334514e-29
993331881198028.0,5.8235796195962294e-30
1002529398616528.4,1.921549764006562e-29
1011726916035028.6,4.6040060353021194e-29
1020924433453528.9,3.63098065120725e-30
1030121950872029.1,4.7259511187874095e-29
1039319468290529.4,6.988289514516253e-29
1048516985709029.6,3.745326518094422e-30
1057714503127529.9,1.0790782755799348e-28
1066912020546030.1,9.057777355315032e-29
1076109537964530.4,1.6675941258920582e-29
1085307055383030.6,2.088937884009302e-28
1094504572801530.9,1.0432976898514166e-28
1103702090220031.1,6.830834271994365e-29
1112899607638531.4,3.8272067597659332e-28
1122097125057031.8,9.570362492057575e-29
1131294642475532.0,2.1211240420642284e-28
1140492159894032.2,6.327030545413533e-28
1149689677312532.5,6.090032542201685e-29
1158887194731032.8,5.483254254394814e-28
1168084712149533.0,9.497443331914128e-28
1177282229568033.2,2.2964691207501778e-29
1186479746986533.5,1.2451808054856897e-27
1195677264405033.8,1.2793181313659259e-27
1204874781823534.0,8.009073307157972e-29
1214072299242034.2,2.4879647677501255e-27
1223269816660534.5,1.5226416685475057e-27
1232467334079034.8,5.110363295540821e-28
1241664851497535.0,4.5318670765357956e-27
1250862368916035.2,1.4806049497765862e-27
1260059886334535.5,1.8548741759658484e-27
1269257403753035.8,7.533954820935155e-27
1278454921171536.0,1.0458258049271455e-27
1287652438590036.2,5.083406197032403e-27
1296849956008536.8,1.1406122500501453e-26
1306047473427037.0,3.5656331314029044e-28
1315244990845537.2,1.1704642685376289e-26
1324442508264037.5,1.5715208326467557e-26
1333640025682537.8,2.023007651807934e-28
1342837543101038.0,2.3570998234905248e-26
1352035060519538.2,1.9537452636737273e-26
1361232577938038.5,2.7824176342795858e-27
1370430095356538.8,4.2766734360669916e-26
1379627612775039.0,2.1718958577016196e-26
1388825130193539.2,1.2613465950562624e-26
1398022647612039.5,7.082616063125765e-26
1407220165030539.8,2.1847536859867227e-26
1416417682449040.0,3.7574058351374426e-26
1425615199867540.2,1.079085383235629e-25
1434812717286040.5,2.2623849076384626e-26
1444010234704540.8,8.913461452807242e-26
1453207752123041.0,1.5197640554859061e-25
1462405269541541.2,3.48898715368637e-26
1471602786960041.5,1.8159128897453538e-25
1480800304378541.8,1.9999251828168454e-25
1489997821797042.0,8.409087994488013e-26
1499195339215542.2,3.271312194287182e-25
1508392856634042.5,2.5622558724062288e-25
1517590374052542.8,2.1850115739401454e-25
1526787891471043.0,5.297104344566183e-25
1535985408889543.5,3.495619028301003e-25
1545182926308043.8,5.121421590326988e-25
1554380443726544.0,7.781087757010777e-25
1563577961145044.2,5.714243206691676e-25
1572775478563544.5,1.0511491476042563e-24
1581972995982044.8,1.0549867252649391e-24
1591170513400545.0,1.1287145277500113e-24
1600368030819045.2,1.8966120503392924e-24
1609565548237545.5,1.3898743831043462e-24
1618763065656045.8,2.4001846375524813e-24
1627960583074546.0,3.014663203633143e-24
1637158100493046.2,1.990248816092141e-24
1646355617911546.5,4.952322041392147e-24
1655553135330046.8,4.2056008686289276e-24
1664750652748547.0,3.494275214842395e-24
1673948170167047.2,9.440072738720877e-24
1683145687585547.5,5.115779590551087e-24
1692343205004047.8,7.331398600931529e-24
1701540722422548.0,1.633100340904919e-23
1710738239841048.2,5.473899492374003e-24
1719935757259548.5,1.6114453205346328e-23
1729133274678048.8,2.5391566995921882e-23
1738330792096549.0,5.792065032901057e-24
1747528309515049.2,3.382562099628845e-23
1756725826933549.5,3.5086105999749207e-23
1765923344352050.0,8.687975291323656e-24
1775120861770550.2,6.543942215275594e-23
1784318379189050.5,4.2199802508251517e-23
1793515896607550.8,2.0919004194759632e-23
1802713414026051.0,1.1557656371196912e-22
1811910931444551.2,4.239972652555091e-23
1821108448863051.5,5.578604753112229e-23
1830305966281551.8,1.8583714457982277e-22
1839503483700052.0,3.2709868658491365e-23
1848701001118552.2,1.3508417128042783e-22
1857898518537052.5,2.7116233849023122e-22
1867096035955552.8,1.6897371777794038e-23
1876293553374053.0,2.8916943953870166e-22
1885491070792553.2,3.5614400189982516e-22
1894688588211053.5,1.452970009659515e-23
1903886105629553.8,5.533439556760439e-22
1913083623048054.0,4.1368853826011446e-22
1922281140466554.2,7.350442095106037e-23
1931478657885054.5,9.588466532291994e-22
1940676175303554.8,4.0947369762666447e-22
1949873692722055.0,2.8466803591813117e-22
1959071210140555.2,1.51776396942799e-21
1968268727559055.5,3.1679855085477495e-22
1977466244977555.8,7.956850351008744e-22
1986663762396056.0,2.2029081589218548e-21
1995861279814556.2,1.4732960717196265e-22
2005058797233056.8,1.8198853250197395e-21
2014256314651557.0,2.928223524608638e-21
2023453832070057.2,5.094901958568519e-24
2032651349488557.5,3.635507869444218e-21
2041848866907057.8,3.531337969271036e-21
2051046384325558.0,1.8259544290693124e-22
2060243901744058.2,6.543678634180053e-21
2069441419162558.5,3.793728879104971e-21
2078638936581058.8,1.345324749303056e-21
2087836453999559.0,1.0774121161037188e-20
2097033971418059.2,3.4846316862946415e-21
2106231488836559.5,4.982196461132898e-21
2115429006255059.8,1.5814846626975884e-20
2124626523673560.0,2.7654258321998017e-21
2133824041092060.2,1.4582831151188073e-20
2143021558510560.5,2.0490948434874113e-20
2152219075929060.8,1.7577919057663473e-21
2161416593347561.0,3.7941514765865056e-20
2170614110766061.2,2.1813995127372578e-20
2179811628184561.5,3.650437631702425e-21
2189009145603061.8,7.278057568031893e-20
2198206663021562.0,2.759599296878949e-20
2207404180440062.2,3.2366272463331715e-20
2216601697858562.5,1.0908283189188759e-19
2225799215277062.8,4.031112049755373e-20
2234996732695563.0,2.0655916366742213e-19
2244194250114063.5,1.6512444181392457e-19
2253391767532563.5,8.37202889963348e-20
2262589284951064.0,6.032353370303512e-19
2271786802369564.0,2.1779662074993495e-19
2280984319788064.5,2.9548698457061744e-19
2290181837206564.5,1.917695323853194e-18
2299379354625065.0,3.555067741489112e-19
2308576872043565.0,1.4597230381838133e-18
2317774389462065.5,6.196627206453137e-18
2326971906880565.5,3.0884659138820385e-18
2336169424299066.0,3.058486329247126e-19
2345366941717566.0,4.568823336595641e-19
2354564459136066.5,1.0821818851310517e-17
2363761976554567.0,8.110411495228858e-18
2372959493973067.0,4.258735372793671e-19
2382157011391567.5,4.993691546197677e-19
2391354528810067.5,4.056431158264176e-18
2400552046228568.0,2.9891141457699677e-18
2409749563647068.0,5.3948094204626054e-18
2418947081065568.5,2.2481140842147813e-18
2428144598484068.5,9.372275317353796e-19
2437342115902569.0,6.018377350361031e-19
2446539633321069.0,1.15327595870151e-18
2455737150739569.5,2.2226658594015636e-20
2464934668158069.5,5.702364085921413e-20
2474132185576570.0,4.0565311267157667e-19
2483329702995070.0,4.265721867345496e-20
2492527220413570.5,2.3806791503313265e-20
2501724737832070.5,1.2366228268969016e-19
2510922255250571.0,8.520529892036172e-21
2520119772669071.0,3.141967069283136e-21
2529317290087571.5,5.656594353162588e-20
2538514807506071.5,8.023806064253845e-21
2547712324924572.0,5.845258177250061e-22
2556909842343072.0,2.042236856748891e-20
2566107359761572.5,7.491705067313375e-21
2575304877180072.5,3.2874471570440913e-21
2584502394598573.0,1.1219785195124312e-20
2593699912017073.5,4.288250611310285e-21
2602897429435573.5,5.180964776604468e-21
2612094946854074.0,6.292733831290111e-21
2621292464272574.0,2.1093594344668168e-21
2630489981691074.5,5.502465687945055e-21
2639687499109574.5,3.702269937069393e-21
2648885016528075.0,1.2969575253613993e-21
2658082533946575.0,4.520980690439065e-21
2667280051365075.5,2.2844380065654048e-21
2676477568783575.5,1.1304372957705812e-21
2685675086202076.0,3.3897751854984875e-21
2694872603620576.0,1.386481136419281e-21
2704070121039076.5,1.1151076935092091e-21
2713267638457576.5,2.395396754001391e-21
2722465155876077.0,8.566960408265921e-22
2731662673294577.0,1.0594926679453337e-21
2740860190713077.5,1.6276154058362236e-21
2750057708131577.5,5.566219429070379e-22
2759255225550078.0,9.375672072825771e-22
2768452742968578.0,1.0742612284085243e-21
2777650260387078.5,3.945837461432145e-22
2786847777805578.5,7.748251964101564e-22
2796045295224079.0,6.932997696544393e-22
2805242812642579.0,3.060205977830539e-22
2814440330061079.5,6.0355791047224225e-22
2823637847479579.5,4.427539905873752e-22
2832835364898080.0,2.497382228481694e-22
2842032882316580.5,4.477712052846895e-22
2851230399735080.5,2.8426628604577605e-22
2860427917153581.0,2.0518341300430116e-22
2869625434572081.0,3.197208015008367e-22
2878822951990581.5,1.8642320427935688e-22
2888020469409081.5,1.6503357574699135e-22
2897217986827582.0,2.221605536451101e-22
2906415504246082.0,1.2600290545220856e-22
2915613021664582.5,1.2850520861227557e-22
2924810539083082.5,1.519338409575531e-22
2934008056501583.0,8.757580672751743e-23
2943205573920083.0,9.68809792725399e-23
2952403091338583.5,1.0330428304405694e-22
2961600608757083.5,6.189638475990121e-23
2970798126175584.0,7.113307711452175e-23
2979995643594084.0,7.033418237403702e-23
2989193161012584.5,4.3883480659337436e-23
2998390678431084.5,5.133075800079042e-23
3007588195849585.0,4.804534832303974e-23
3016785713268085.0,3.092208222596239e-23
3025983230686585.5,3.673449201664471e-23
3035180748105085.5,3.284175260438264e-23
3044378265523586.0,2.1586724537742068e-23
3053575782942086.0,2.6248590938111615e-23
3062773300360586.5,2.2321284721135498e-23
3071970817779087.0,1.4985932678769273e-23
3081168335197587.0,1.8773496185102596e-23
3090365852616087.5,1.4988648919885516e-23
3099563370034587.5,1.0433086803969102e-23
3108760887453088.0,1.34111401524248e-23
3117958404871588.0,9.895769379020328e-24
3127155922290088.5,7.351982640190442e-24
3136353439708588.5,9.512944826935358e-24
3145550957127089.0,6.421736270881175e-24
3154748474545589.0,5.2726885728675176e-24
3163945991964089.5,6.656537145822027e-24
3173143509382589.5,4.113589005165522e-24
3182341026801090.0,3.8472896528411936e-24
3191538544219590.0,4.5647266446045515e-24
3200736061638090.5,2.628637991482571e-24
3209933579056590.5,2.8334425731819703e-24
3219131096475091.0,3.0561887789360284e-24
3228328613893591.0,1.6999305634337435e-24
3237526131312091.5,2.0833469949642946e-24
3246723648730591.5,1.9977673296805648e-24
3255921166149092.0,1.1281123396864845e-24
3265118683567592.0,1.515046173028635e-24
3274316200986092.5,1.2765614683027613e-24
3283513718404592.5,7.742351837328765e-25
3292711235823093.0,1.0806149378265318e-24
3301908753241593.5,8.016903757583547e-25
