iteration,target,energy,pressure,grating_pair_displacement
0,298205854303565.25,0.0008693356421869795,2.694856842813848,2.7620267489133535e-05
1,298205854303565.25,0.0008693356421869795,2.694856842813848,2.7620267489133535e-05
2,298205854303565.25,0.0008693356421869795,2.694856842813848,2.7620267489133535e-05
3,298205854303565.25,0.0008693356421869795,2.694856842813848,2.7620267489133535e-05
4,298205854303565.25,0.0008693356421869795,2.694856842813848,2.7620267489133535e-05
5,298205854303565.25,0.0008693356421869795,2.694856842813848,2.7620267489133535e-05
6,298205854303565.25,0.0008693356421869795,2.694856842813848,2.7620267489133535e-05
7,298205854303565.25,0.0008693356421869795,2.694856842813848,2.7620267489133535e-05
8,309283539257112.75,0.0010774352709508217,2.396668714553315,-4.473599788898185e-05
9,309283539257112.75,0.0010774352709508217,2.396668714553315,-4.473599788898185e-05
10,309283539257112.75,0.0010774352709508217,2.396668714553315,-4.473599788898185e-05
11,309283539257112.75,0.0010774352709508217,2.396668714553315,-4.473599788898185e-05
12,309283539257112.75,0.0010774352709508217,2.396668714553315,-4.473599788898185e-05
13,352071499268204.4,0.001146164419702421,2.7130357424559706,-3.7559600725298983e-05
14,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
15,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
16,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
17,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
18,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
19,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
20,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
21,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
22,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
23,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
24,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
25,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
26,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
27,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
28,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
29,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
30,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
31,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
32,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
33,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
34,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
35,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
36,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
37,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
38,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
39,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
40,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
41,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
42,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
43,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
44,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
45,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
46,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
47,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
48,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
49,498063081992925.56,0.0011916256466346757,2.7130013241256794,6.463685772024517e-06
