radius,Fibre Length,Transmission
3e-05,0.1,0.3587844933003585
3e-05,0.2,0.12887731608426176
3e-05,0.3,0.04634743829359472
3e-05,0.4,0.01668702077498758
3e-05,0.5,0.006014965744919591
3e-05,0.6,0.0021706329462698815
3e-05,0.7,0.0007842171180137343
3e-05,0.7999999999999999,0.0002836490295016945
3e-05,0.8999999999999999,0.00010271200708059506
3e-05,0.9999999999999999,3.723563756002989e-05
3e-05,1.0999999999999999,1.3514646601704652e-05
3e-05,1.2,4.9112199716242305e-06
3e-05,1.3,1.7872571880851653e-06
3e-05,1.4,6.51588503949034e-07
3e-05,1.5,2.3811473047488795e-07
3e-05,1.5999999999999999,8.702245715293917e-08
3e-05,1.7,3.1687240072582314e-08
3e-05,1.8,1.1568608541768009e-08
3e-05,1.9,4.23752095025951e-09
3e-05,2.0,1.5561825239609266e-09
3e-05,2.0999999999999996,5.73484439733416e-10
3e-05,2.1999999999999997,2.127321324662737e-10
3e-05,2.3,8.006650407815811e-11
3e-05,2.4,3.0374387829697135e-11
3e-05,2.5,1.2566862671728755e-11
3e-05,2.6,4.9099560435551026e-12
3e-05,2.6999999999999997,2.5350191911812152e-12
3e-05,2.8,9.768557000686167e-13
3e-05,2.9,4.0963864541148534e-13
3e-05,3.0,9.587827578736909e-14
5e-05,0.1,0.8013164040221037
5e-05,0.2,0.6421432547452034
5e-05,0.3,0.5146164143134165
5e-05,0.4,0.4124384510636953
5e-05,0.5,0.33056618394639714
5e-05,0.6,0.26496068062597633
5e-05,0.7,0.21238710026896623
5e-05,0.7999999999999999,0.17025447518834608
5e-05,0.8999999999999999,0.136487402627943
5e-05,0.9999999999999999,0.10942340651523087
5e-05,1.0999999999999999,0.08773067636147144
5e-05,1.2,0.07034225690778362
5e-05,1.3,0.05640331668566144
5e-05,1.4,0.045228951049604525
5e-05,1.5,0.03627035900033958
5e-05,1.5999999999999999,0.029087784352614558
5e-05,1.7,0.023328823783840626
5e-05,1.8,0.018711063541263173
5e-05,1.9,0.015008160481969436
5e-05,2.0,0.012038706646861285
5e-05,2.0999999999999996,0.009657294364110936
5e-05,2.1999999999999997,0.007747373157683036
5e-05,2.3,0.006215508780880989
5e-05,2.4,0.004986802627787211
5e-05,2.5,0.00400120610830641
5e-05,2.6,0.0032105755105039818
5e-05,2.6999999999999997,0.0025763091430040823
5e-05,2.8,0.0020674560758990623
5e-05,2.9,0.0016591961403739407
5e-05,3.0,0.0013316260341841315
7e-05,0.1,0.922445500545663
7e-05,0.2,0.8509119191335057
7e-05,0.3,0.7849313412203981
7e-05,0.4,0.7240722402895967
7e-05,0.5,0.6679366753896311
7e-05,0.6,0.6161576583991003
7e-05,0.7,0.5683967304569698
7e-05,0.7999999999999999,0.524341764451037
7e-05,0.8999999999999999,0.48370491216409867
7e-05,0.9999999999999999,0.4462206886763913
7e-05,1.0999999999999999,0.41164425510659614
7e-05,1.2,0.3797498160758042
7e-05,1.3,0.3503291210024355
7e-05,1.4,0.3231901065810704
7e-05,1.5,0.2981556445603219
7e-05,1.5999999999999999,0.2750623533292812
7e-05,1.7,0.253759558878936
7e-05,1.8,0.23410831399180282
7e-05,1.9,0.21598042408826273
7e-05,2.0,0.19925769010169075
7e-05,2.0999999999999996,0.18383107940999718
7e-05,2.1999999999999997,0.16960003357406003
7e-05,2.3,0.15647178656702915
7e-05,2.4,0.14436080723750302
7e-05,2.5,0.1331881853467293
7e-05,2.6,0.12288113878305361
7e-05,2.6999999999999997,0.11337253775646862
7e-05,2.8,0.1046004826536355
7e-05,2.9,0.09650783908669781
7e-05,3.0,0.08904194542604556
9e-05,0.1,0.9627288950520045
9e-05,0.2,0.9268484351785133
9e-05,0.3,0.8923066684613753
9e-05,0.4,0.859053590156253
9e-05,0.5,0.8270410709168579
9e-05,0.6,0.7962227765377209
9e-05,0.7,0.7665541162173675
9e-05,0.7999999999999999,0.737992150921478
9e-05,0.8999999999999999,0.7104955606833137
9e-05,0.9999999999999999,0.6840245577735412
9e-05,1.0999999999999999,0.6585408533044135
9e-05,1.2,0.6340075700441727
9e-05,1.3,0.6103892433778396
9e-05,1.4,0.5876516983495019
9e-05,1.5,0.5657620699777338
9e-05,1.5999999999999999,0.544688684844617
9e-05,1.7,0.5244010831423802
9e-05,1.8,0.5048699280392073
9e-05,1.9,0.486066991204256
9e-05,2.0,0.46796508730430075
9e-05,2.0999999999999996,0.450538046213693
9e-05,2.1999999999999997,0.43376069906763254
9e-05,2.3,0.4176087778911041
9e-05,2.4,0.40205895131333746
9e-05,2.5,0.3870887578693124
9e-05,2.6,0.3726765519111246
9e-05,2.6999999999999997,0.35880152965351036
9e-05,2.8,0.3454436368690252
9e-05,2.9,0.3325835720488886
