radius,Fibre Length,Transmission
3e-05,0.1,0.35879215611877896
3e-05,0.2,0.1288837027970923
3e-05,0.3,0.04635167412773578
3e-05,0.4,0.0166896393255994
3e-05,0.5,0.006016572604075691
3e-05,0.6,0.002171660488377194
3e-05,0.7,0.0007849243361895019
3e-05,0.7999999999999999,0.0002841771870432017
3e-05,0.8999999999999999,0.00010313530324968603
3e-05,0.9999999999999999,3.759131006598367e-05
3e-05,1.0999999999999999,1.3822364308314275e-05
3e-05,1.2,5.181664134766336e-06
3e-05,1.3,2.0270577526057646e-06
3e-05,1.4,8.650864980085617e-07
3e-05,1.5,4.284689805324173e-07
3e-05,1.5999999999999999,2.563304844221911e-07
3e-05,1.7,1.7429726783109036e-07
3e-05,1.8,8.78464769646552e-08
3e-05,1.9,2.103273469000651e-08
3e-05,2.0,3.950968731699853e-09
3e-05,2.0999999999999996,6.033122340496002e-10
3e-05,2.1999999999999997,2.2062623296691607e-10
3e-05,2.3,8.727053414326458e-11
3e-05,2.4,3.773841154195953e-11
3e-05,2.5,1.8939721807345553e-11
3e-05,2.6,1.2191351750392231e-11
3e-05,2.6999999999999997,1.0010522265386175e-11
3e-05,2.8,7.691764000850578e-12
3e-05,2.9,7.197272285623144e-12
3e-05,3.0,5.4135113786250124e-12
5e-05,0.1,0.8013197673666548
5e-05,0.2,0.6421489589106565
5e-05,0.3,0.5146235590789727
5e-05,0.4,0.4124462292262319
5e-05,0.5,0.3305742410167066
5e-05,0.6,0.26496875929327973
5e-05,0.7,0.21239506157225008
5e-05,0.7999999999999999,0.17026221571176653
5e-05,0.8999999999999999,0.13649486578609793
5e-05,0.9999999999999999,0.10943053225308631
5e-05,1.0999999999999999,0.08773743440978221
5e-05,1.2,0.07034861364539505
5e-05,1.3,0.0564092631517867
5e-05,1.4,0.0452344737398028
5e-05,1.5,0.036275461239210174
5e-05,1.5999999999999999,0.029092473490460204
5e-05,1.7,0.023333113815393297
5e-05,1.8,0.018714971633252076
5e-05,1.9,0.015011707947104274
5e-05,2.0,0.012041915630955819
5e-05,2.0999999999999996,0.009660191300144732
5e-05,2.1999999999999997,0.007749981295211166
5e-05,2.3,0.00621785554751641
5e-05,2.4,0.004988911684437689
5e-05,2.5,0.004003100676718762
5e-05,2.6,0.0032122767416476973
5e-05,2.6999999999999997,0.0025778381830343345
5e-05,2.8,0.002068831739993701
5e-05,2.9,0.0016604355794932308
5e-05,3.0,0.001332745101939318
7e-05,0.1,0.9224465588896679
7e-05,0.2,0.8509144218957352
7e-05,0.3,0.7849349643044172
7e-05,0.4,0.7240770862219512
7e-05,0.5,0.667942023881447
7e-05,0.6,0.6161636492213733
7e-05,0.7,0.5684032816325344
7e-05,0.7999999999999999,0.5243487493716198
7e-05,0.8999999999999999,0.4837121838222095
7e-05,0.9999999999999999,0.4462282351020767
7e-05,1.0999999999999999,0.4116520352114836
7e-05,1.2,0.37975777074825806
7e-05,1.3,0.3503372453899793
7e-05,1.4,0.323198352982791
7e-05,1.5,0.29816403298848
