radius,Fibre Length,Transmission
3e-05,0.1,0.3587921594221401
3e-05,0.2,0.12888370223697143
3e-05,0.3,0.046351675643010765
3e-05,0.4,0.01668963872117515
3e-05,0.5,0.006016572890741369
3e-05,0.6,0.0021716603253076425
3e-05,0.7,0.0007849244116088133
3e-05,0.7999999999999999,0.0002841776048523718
3e-05,0.8999999999999999,0.00010313523713586984
3e-05,0.9999999999999999,3.7591405994225794e-05
3e-05,1.0999999999999999,1.3822500523659197e-05
3e-05,1.2,5.181614282360792e-06
3e-05,1.3,2.026955293975326e-06
3e-05,1.4,8.648714138618481e-07
3e-05,1.5,4.286045399923228e-07
3e-05,1.5999999999999999,2.5634561041832257e-07
3e-05,1.7,1.7233759472024037e-07
3e-05,1.8,8.129407937500016e-08
3e-05,1.9,2.208062669533005e-08
3e-05,2.0,3.953829290799534e-09
3e-05,2.0999999999999996,6.141030223683804e-10
3e-05,2.1999999999999997,2.2046921134153916e-10
3e-05,2.3,8.750728750150413e-11
3e-05,2.4,3.8574449810268865e-11
3e-05,2.5,2.010228151113827e-11
3e-05,2.6,1.2214378194324101e-11
3e-05,2.6999999999999997,9.312271232150173e-12
3e-05,2.8,7.702264513816975e-12
3e-05,2.9,7.0579166672685e-12
3e-05,3.0,5.708229318777767e-12
4e-05,0.1,0.6488455266803154
4e-05,0.2,0.4210889546778041
4e-05,0.3,0.2733364466214067
4e-05,0.4,0.17746494476047808
4e-05,0.5,0.1152442326988243
4e-05,0.6,0.0748544304595522
4e-05,0.7,0.04863037142597351
4e-05,0.7999999999999999,0.031600181452197576
4e-05,0.8999999999999999,0.020538264667173615
4e-05,0.9999999999999999,0.013351514977848967
4e-05,1.0999999999999999,0.008681419367189459
4e-05,1.2,0.005646059616344766
4e-05,1.3,0.0036727939947159686
4e-05,1.4,0.0023897187307693234
4e-05,1.5,0.00155525006062599
4e-05,1.5999999999999999,0.0010124252370002774
4e-05,1.7,0.0006592402325535176
4e-05,1.8,0.00042939382279399415
4e-05,1.9,0.0002797814305866961
4e-05,2.0,0.0001823731725436396
4e-05,2.0999999999999996,0.00011893841899614142
4e-05,2.1999999999999997,7.761811304975298e-05
4e-05,2.3,5.0696136848697905e-05
4e-05,2.4,3.314919976858739e-05
4e-05,2.5,2.170997238118548e-05
4e-05,2.6,1.4248910445895314e-05
4e-05,2.6999999999999997,9.380350305880539e-06
4e-05,2.8,6.2018702288251955e-06
4e-05,2.9,4.124515460087168e-06
4e-05,3.0,2.7661217127008347e-06
5e-05,0.1,0.8013197694251187
5e-05,0.2,0.6421489614688616
5e-05,0.3,0.5146235673924942
5e-05,0.4,0.412446229744278
5e-05,0.5,0.33057424644899636
5e-05,0.6,0.26496875585486424
5e-05,0.7,0.21239505744746298
5e-05,0.7999999999999999,0.17026221244488765
5e-05,0.8999999999999999,0.13649486142215972
5e-05,0.9999999999999999,0.10943053262834924
5e-05,1.0999999999999999,0.08773743081158013
5e-05,1.2,0.07034861478400053
5e-05,1.3,0.05640926325851816
5e-05,1.4,0.04523447213537078
5e-05,1.5,0.03627546113708128
5e-05,1.5999999999999999,0.029092472985693778
5e-05,1.7,0.02333311400555312
5e-05,1.8,0.018714971054152013
5e-05,1.9,0.015011706998614432
5e-05,2.0,0.012041915407065973
5e-05,2.0999999999999996,0.009660191254456992
5e-05,2.1999999999999997,0.007749981789466826
5e-05,2.3,0.006217856093518013
5e-05,2.4,0.004988911867551913
5e-05,2.5,0.004003099983455683
5e-05,2.6,0.0032122765316986873
5e-05,2.6999999999999997,0.002577837564274891
5e-05,2.8,0.00206883155344544
5e-05,2.9,0.001660435875634416
5e-05,3.0,0.001332745052401784
6e-05,0.1,0.8796894060778199
6e-05,0.2,0.7738681347763487
6e-05,0.3,0.6807891886867703
6e-05,0.4,0.5989164500860786
6e-05,0.5,0.5268996016740993
6e-05,0.6,0.4635509394781582
6e-05,0.7,0.4078262390606731
6e-05,0.7999999999999999,0.3588068942562775
6e-05,0.8999999999999999,0.31568543181078473
6e-05,0.9999999999999999,0.27775145893286196
6e-05,1.0999999999999999,0.24438035889214632
6e-05,1.2,0.2150227236673406
6e-05,1.3,0.1891953916731769
6e-05,1.4,0.1664734174130479
6e-05,1.5,0.14648305156760866
6e-05,1.5999999999999999,0.12889558442567856
6e-05,1.7,0.11342188402999451
6e-05,1.8,0.09980765956965817
6e-05,1.9,0.08782922391783676
6e-05,2.0,0.07728984249130862
6e-05,2.0999999999999996,0.06801645122680096
6e-05,2.1999999999999997,0.05985683276114375
6e-05,2.3,0.05267707985333135
6e-05,2.4,0.04635940274638354
6e-05,2.5,0.04080018711811556
6e-05,2.6,0.035908293883292516
6e-05,2.6999999999999997,0.03160352309185481
6e-05,2.8,0.027815348910557657
6e-05,2.9,0.024481709646283076
6e-05,3.0,0.021548011726548133
7e-05,0.1,0.9224465592770529
7e-05,0.2,0.850914418107522
7e-05,0.3,0.7849349635505166
7e-05,0.4,0.7240770737093085
7e-05,0.5,0.6679420237913228
7e-05,0.6,0.6161636516783969
7e-05,0.7,0.5684032816853105
7e-05,0.7999999999999999,0.5243487514406683
7e-05,0.8999999999999999,0.4837121857480078
7e-05,0.9999999999999999,0.4462282386370927
7e-05,1.0999999999999999,0.4116520333744007
7e-05,1.2,0.37975776535218697
7e-05,1.3,0.3503372439393606
7e-05,1.4,0.323198361766697
7e-05,1.5,0.298164030523657
7e-05,1.5999999999999999,0.27507080640409665
7e-05,1.7,0.25376810382192294
7e-05,1.8,0.23411693502729677
7e-05,1.9,0.21598909953369014
7e-05,2.0,0.19926641295657585
7e-05,2.0999999999999996,0.18383984549378934
7e-05,2.1999999999999997,0.16960881869103978
7e-05,2.3,0.15648059511317652
7e-05,2.4,0.14436961762955952
7e-05,2.5,0.13319698621497877
7e-05,2.6,0.12288992417678923
7e-05,2.6999999999999997,0.1133812948568445
7e-05,2.8,0.10460919275484783
7e-05,2.9,0.09651649128007497
7e-05,3.0,0.08905052977799398
