SPECTRUM DATA FILE
SpectrumCount:	16
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	6	6.4	6.8	7.2	7.6	8.0	8.4	8.8	9.2	9.6	10.0	10.4	10.8	11.2	11.6	12.0
Date:	2022-02-23T14:37:45.2471846+00:00	2022-02-23T14:38:16.1474270+00:00	2022-02-23T14:38:29.6482453+00:00	2022-02-23T14:38:41.3480296+00:00	2022-02-23T14:39:05.7484860+00:00	2022-02-23T14:39:18.0500643+00:00	2022-02-23T14:39:30.2497004+00:00	2022-02-23T14:39:41.0504168+00:00	2022-02-23T14:39:56.4507587+00:00	2022-02-23T14:42:54.7547325+00:00	2022-02-23T14:43:05.8560963+00:00	2022-02-23T14:43:20.5567185+00:00	2022-02-23T14:43:31.0562017+00:00	2022-02-23T14:43:40.9568500+00:00	2022-02-23T14:43:52.0566498+00:00	2022-02-23T14:44:05.6574969+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.0680799	0.07233407	0.05476293	0.04468356	0.04711721	0.05307358	0.04465842	0.03219017	0.0409044	0.04173691	0.06131857	0.07705919	0.08603729	0.08991177	0.109813	0.111214
Temperature:	23.00717	23.10883	23.00717	23.10883	23.10883	23.10883	23.10883	23.21051	23.10883	23.10883	23.10883	23.21051	23.10883	23.10883	23.21051	23.21051
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611	53970	65280	255	16413159	7817798	16480417	16702471	13717677	589273
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14	Intensity15	Intensity16
181.1781	-1.182578	-2.455945	-4.23904	-4.092411	-13.39721	-1.918116	0.5766358	-7.786016	7.188055	-12.51186	-4.036927	4.492365	-7.171803	-1.070183	5.596997	-12.06622
181.5213	0.2189011	7.346613	5.249073	-5.285772	-12.14633	6.122725	4.396686	0.5259993	10.46509	-10.70086	3.08737	-13.28383	5.857869	-5.873977	3.054464	-10.41967
181.8645	-5.316162	11.87792	12.00221	-1.420837	-4.425723	5.744344	0.6257697	6.397418	6.937934	-8.876975	6.888975	-17.14327	6.687618	-9.324291	2.610684	-18.01874
