Iteration,"target width, \m","energy, J","pressure, bar","grating pair displacement, m"
114,3.269758481415467e-08,0.0013272063950897591,2.5123213028961238,-9.814104200922135e-05
115,3.2697559426640484e-08,0.0011311537506511478,0.5548337451151831,0.00035615402941814025
116,3.269757046070565e-08,0.00023426541262533597,2.7616635346069613,0.00032608238642557285
117,3.269758321865067e-08,0.001270959289571114,1.8970904412377934,0.000146110577783498
118,3.2697598744851925e-08,0.0007495462807977646,2.2019999150808123,-0.00036415169238879187
119,3.2697575531536765e-08,0.00045496388665501494,0.5580729249818841,-0.0003611154761615162
120,3.269757138992255e-08,0.0002574713959301643,3.3736565527972737,8.38850634497497e-06
121,3.269760916872186e-08,0.0008551134942549244,2.057031676355781,0.0002095055010270582
122,3.269757380970329e-08,0.0001478294256814849,2.761671989548673,0.0001762572802738204
123,3.2697589073282634e-08,0.0010672674746040735,2.7444529845083707,0.00044950396316759025
124,3.269759401558936e-08,0.0008704679725854729,0.9704111342419752,0.00026308349316278427
125,3.2697553322334324e-08,0.0012493346822878041,2.1687154357842946,0.0002493996381061236
126,3.269762349126651e-08,0.0009274305126208409,1.446462414405596,0.00022073052025741347
127,3.2697592635951796e-08,0.00015101163388161606,3.1344023743788787,-0.0002574203589318166
128,3.269758464412874e-08,0.00117238936463795,1.8971237955605842,0.00017908896299282707
129,3.269758471132014e-08,0.0013222548315561054,2.5940958848890743,0.00033787303198998557
130,3.269759842073492e-08,0.0010226720262507373,0.970470492700903,0.0002182638997409481
131,3.269759553161072e-08,0.0010065792932328656,0.5548367944370615,0.00031232789454512314
132,3.2697563421761695e-08,0.00018617030301092754,2.583152859058015,-9.415713176870135e-05
133,3.2697584591667687e-08,0.00077398147907308,3.256184739510522,0.000457182128883836
134,3.269758872968565e-08,0.0004921515061965117,0.7769817210421308,-0.0003959600979596047
135,3.269757200759701e-08,0.0014294461082016733,2.5941481442954704,0.0004811801137771846
136,3.2697583042306426e-08,0.0010445120624439001,0.9701740915453745,0.000379784218117408
137,3.269756792515083e-08,0.0007631148893732918,2.5077453066212594,0.0001585627360066391
138,3.269760058676882e-08,0.00015793519249606076,1.4961359417497613,-0.0002447404466657401
139,3.269757965767895e-08,0.0008216784304928572,2.056952476065955,0.0002706529155312087
140,3.2697604641244875e-08,0.0003868637613290694,1.690373048973382,-0.00017150504708665724
141,3.2697585713027256e-08,0.0008687811295823336,1.7324466780943886,-0.0002910437713325516
142,3.26975742904873e-08,0.0011634862893434243,3.223323926497495,0.00036440440904267324
