"GDD, fs^2","FOD, fs^4","Simulated Angular Frequency Width, /s"
36.842105263157976,41263.157894736825,332392378003379.7
36.842105263157976,53052.63157894735,332377956291327.4
36.842105263157976,64842.10526315788,332363227569160.44
36.842105263157976,76631.57894736841,332347664654908.1
36.842105263157976,88421.05263157893,332331637104056.1
36.842105263157976,100210.52631578947,332315001468877.7
36.842105263157976,111999.99999999999,332297883374929.9
110.52631578947374,-111999.99999999999,331831396588788.3
110.52631578947374,-100210.52631578947,331795934376915.56
110.52631578947374,-88421.05263157893,331759865192578.7
110.52631578947374,-76631.57894736841,331721666261539.2
110.52631578947374,-64842.10526315789,331682313478814.7
110.52631578947374,-53052.63157894737,331641517522791.0
110.52631578947374,-41263.15789473685,331599621379159.3
110.52631578947374,-29473.684210526317,331555792192766.7
110.52631578947374,-17684.21052631579,331511321167579.8
110.52631578947374,-5894.736842105263,331464379166690.75
110.52631578947374,5894.736842105263,331416255955295.2
110.52631578947374,17684.21052631579,331366468307244.44
110.52631578947374,29473.6842105263,331315877633549.8
110.52631578947374,41263.157894736825,331263223630791.56
110.52631578947374,53052.63157894735,331209953287445.3
110.52631578947374,64842.10526315788,331155632837439.06
110.52631578947374,76631.57894736841,331099572358575.1
110.52631578947374,88421.05263157893,331043415997702.5
110.52631578947374,100210.52631578947,330984338382805.3
110.52631578947374,111999.99999999999,330926410828343.94
184.2105263157895,-111999.99999999999,330061667813917.25
184.2105263157895,-100210.52631578947,330054432057777.0
184.2105263157895,-88421.05263157893,330056244505407.06
184.2105263157895,-76631.57894736841,330066803842292.75
184.2105263157895,-64842.10526315789,330089021195336.3
184.2105263157895,-53052.63157894737,330122830168396.56
184.2105263157895,-41263.15789473685,330169207080237.44
184.2105263157895,-29473.684210526317,330230261020773.2
184.2105263157895,-17684.21052631579,330306708265175.75
184.2105263157895,-5894.736842105263,330400015667551.75
184.2105263157895,5894.736842105263,330512225376481.3
184.2105263157895,17684.21052631579,330644760990244.94
184.2105263157895,29473.6842105263,330799956916297.2
184.2105263157895,41263.157894736825,330979217146962.8
184.2105263157895,53052.63157894735,331184195016116.75
184.2105263157895,64842.10526315788,331417294766559.6
184.2105263157895,76631.57894736841,329773189661735.56
184.2105263157895,88421.05263157893,329721857873161.25
184.2105263157895,100210.52631578947,329673281746784.6
184.2105263157895,111999.99999999999,329626928945546.9
257.8947368421053,-111999.99999999999,328550088645519.7
257.8947368421053,-100210.52631578947,328456672980234.0
257.8947368421053,-88421.05263157893,328359150355636.06
257.8947368421053,-76631.57894736841,328257813913310.56
257.8947368421053,-64842.10526315789,328152249995101.3
257.8947368421053,-53052.63157894737,328044460883362.9
