"TOD, fs^3","FOD, fs^4","Simulated Angular Frequency Width, /s"
-31473.684210526317,100210.52631578947,328449830522859.44
-31473.684210526317,111999.99999999999,328435952786472.8
-26631.578947368416,-111999.99999999999,331323029641810.5
-26631.578947368416,-100210.52631578947,331296595013921.7
-26631.578947368416,-88421.05263157893,331272535399764.9
-26631.578947368416,-76631.57894736841,331250968674426.8
-26631.578947368416,-64842.10526315789,331234044062139.1
-26631.578947368416,-53052.63157894737,331214670459056.8
-26631.578947368416,-41263.15789473685,331206040989755.1
-26631.578947368416,-29473.684210526317,331193709037463.9
-26631.578947368416,-17684.21052631579,331185306100788.0
-26631.578947368416,-5894.736842105263,331182123693768.7
-26631.578947368416,5894.736842105263,331179787561049.56
-26631.578947368416,17684.21052631579,331179414637604.5
-26631.578947368416,29473.6842105263,331182718883582.9
-26631.578947368416,41263.157894736825,331187805624798.8
-26631.578947368416,53052.63157894735,331197153249491.9
-26631.578947368416,64842.10526315788,331204602441550.2
-26631.578947368416,76631.57894736841,331226100970263.5
-26631.578947368416,88421.05263157893,329504027904686.56
-26631.578947368416,100210.52631578947,329492843393919.0
-26631.578947368416,111999.99999999999,329480895121134.8
-21789.473684210527,-111999.99999999999,330017082465828.0
-21789.473684210527,-100210.52631578947,330013361129757.6
-21789.473684210527,-88421.05263157893,330009116709281.3
-21789.473684210527,-76631.57894736841,330004715873206.1
-21789.473684210527,-64842.10526315789,329999753585796.2
-21789.473684210527,-53052.63157894737,329994401832522.44
-21789.473684210527,-41263.15789473685,329988615440500.9
-21789.473684210527,-29473.684210526317,329982210939759.25
-21789.473684210527,-17684.21052631579,329975882628328.7
-21789.473684210527,-5894.736842105263,329968952760277.5
-21789.473684210527,5894.736842105263,329961838640060.9
-21789.473684210527,17684.21052631579,329954110611532.75
-21789.473684210527,29473.6842105263,329946205671741.1
-21789.473684210527,41263.157894736825,329937922330124.5
-21789.473684210527,53052.63157894735,329928968949071.0
-21789.473684210527,64842.10526315788,329920064100498.1
-21789.473684210527,76631.57894736841,329910732424356.8
-21789.473684210527,88421.05263157893,329901321887778.6
-21789.473684210527,100210.52631578947,329890901086542.7
-21789.473684210527,111999.99999999999,329881399875094.0
-16947.36842105263,-111999.99999999999,331089790753239.6
-16947.36842105263,-100210.52631578947,331088041543365.1
-16947.36842105263,-88421.05263157893,331086540127118.9
-16947.36842105263,-76631.57894736841,331083919660012.56
-16947.36842105263,-64842.10526315789,331080882891702.8
-16947.36842105263,-53052.63157894737,331075509418695.7
-16947.36842105263,-41263.15789473685,331071508254221.1
-16947.36842105263,-29473.684210526317,331065418255645.56
-16947.36842105263,-17684.21052631579,331059056232524.2
-16947.36842105263,-5894.736842105263,331051740756238.7
-16947.36842105263,5894.736842105263,331043929242806.8
-16947.36842105263,17684.21052631579,331035171913801.4
-16947.36842105263,29473.6842105263,331025438727822.5
-16947.36842105263,41263.157894736825,331014891108345.1
-16947.36842105263,53052.63157894735,331003886716988.8
-16947.36842105263,64842.10526315788,330991583897672.9
-16947.36842105263,76631.57894736841,330978997548325.94
-16947.36842105263,88421.05263157893,330965329362257.3
-16947.36842105263,100210.52631578947,330950561436598.06
-16947.36842105263,111999.99999999999,330936038522260.2
-12105.263157894737,-111999.99999999999,331914898831259.4
-12105.263157894737,-100210.52631578947,331912382814023.8
-12105.263157894737,-88421.05263157893,331909716705432.2
-12105.263157894737,-76631.57894736841,331906162500766.3
-12105.263157894737,-64842.10526315789,331902050880389.56
-12105.263157894737,-53052.63157894737,331897851521991.3
-12105.263157894737,-41263.15789473685,331892837372785.06
-12105.263157894737,-29473.684210526317,331887294411216.94
-12105.263157894737,-17684.21052631579,331881400125477.56
-12105.263157894737,-5894.736842105263,331874648457913.3
-12105.263157894737,5894.736842105263,331867264886911.2
-12105.263157894737,17684.21052631579,331859860337878.0
-12105.263157894737,29473.6842105263,331851314093411.9
-12105.263157894737,41263.157894736825,331842607251139.2
-12105.263157894737,53052.63157894735,331832939662526.7
-12105.263157894737,64842.10526315788,331823194331404.7
-12105.263157894737,76631.57894736841,331812930814361.8
-12105.263157894737,88421.05263157893,331801655767605.4
-12105.263157894737,100210.52631578947,331789725989437.6
-12105.263157894737,111999.99999999999,331777653173480.75
-7263.157894736841,-111999.99999999999,332348769042321.8
-7263.157894736841,-100210.52631578947,332345401375328.5
-7263.157894736841,-88421.05263157893,332342566022352.44
-7263.157894736841,-76631.57894736841,332338149126750.25
-7263.157894736841,-64842.10526315789,332334208215241.94
-7263.157894736841,-53052.63157894737,332329998102138.56
-7263.157894736841,-41263.15789473685,332324841587301.4
-7263.157894736841,-29473.684210526317,332319574654626.06
-7263.157894736841,-17684.21052631579,332314034894831.94
-7263.157894736841,-5894.736842105263,332308172899909.3
-7263.157894736841,5894.736842105263,332301498658430.7
-7263.157894736841,17684.21052631579,332295252564242.44
-7263.157894736841,29473.6842105263,332287954472541.7
-7263.157894736841,41263.157894736825,332280683473065.3
-7263.157894736841,53052.63157894735,332272697195741.75
-7263.157894736841,64842.10526315788,332264683227986.4
-7263.157894736841,76631.57894736841,332255743026303.7
-7263.157894736841,88421.05263157893,332246956612072.3
-7263.157894736841,100210.52631578947,332237257880331.0
-7263.157894736841,111999.99999999999,332227447494806.06
-2421.0526315789452,-111999.99999999999,332583149685352.5
-2421.0526315789452,-100210.52631578947,332580261891842.56
-2421.0526315789452,-88421.05263157893,332577008298404.3
-2421.0526315789452,-76631.57894736841,332572732335176.8
-2421.0526315789452,-64842.10526315789,332568509890849.25
-2421.0526315789452,-53052.63157894737,332564834324522.4
-2421.0526315789452,-41263.15789473685,332559800232930.06
-2421.0526315789452,-29473.684210526317,332554853381232.56
-2421.0526315789452,-17684.21052631579,332549571842363.8
-2421.0526315789452,-5894.736842105263,332544177436302.25
-2421.0526315789452,5894.736842105263,332537988326528.25
-2421.0526315789452,17684.21052631579,332531923224226.9
-2421.0526315789452,29473.6842105263,332525158771275.6
-2421.0526315789452,41263.157894736825,332518062443144.25
-2421.0526315789452,53052.63157894735,332511007188310.2
-2421.0526315789452,64842.10526315788,332503297926803.25
-2421.0526315789452,76631.57894736841,332495498599231.8
-2421.0526315789452,88421.05263157893,332486781381914.44
-2421.0526315789452,100210.52631578947,332478245999251.8
-2421.0526315789452,111999.99999999999,332469399652655.44
2421.0526315789452,-111999.99999999999,332684935506382.0
2421.0526315789452,-100210.52631578947,332682107931679.56
2421.0526315789452,-88421.05263157893,332678767962693.7
2421.0526315789452,-76631.57894736841,332675050712577.75
2421.0526315789452,-64842.10526315789,332671285470970.7
2421.0526315789452,-53052.63157894737,332666818671951.44
2421.0526315789452,-41263.15789473685,332662438417150.25
2421.0526315789452,-29473.684210526317,332657471459116.44
2421.0526315789452,-17684.21052631579,332652284326596.4
2421.0526315789452,-5894.736842105263,332647070956653.2
2421.0526315789452,5894.736842105263,332641106983509.9
2421.0526315789452,17684.21052631579,332634715111379.94
2421.0526315789452,29473.6842105263,332628316573334.25
2421.0526315789452,41263.157894736825,332621337772634.8
2421.0526315789452,53052.63157894735,332614135874982.5
2421.0526315789452,64842.10526315788,332606707459649.75
2421.0526315789452,76631.57894736841,332598911392655.6
2421.0526315789452,88421.05263157893,332590464236348.8
2421.0526315789452,100210.52631578947,332582298611056.2
2421.0526315789452,111999.99999999999,332572688457112.4
7263.157894736845,-111999.99999999999,332652038654165.94
7263.157894736845,-100210.52631578947,332649166258367.56
7263.157894736845,-88421.05263157893,332645853066682.5
7263.157894736845,-76631.57894736841,332642672295637.3
7263.157894736845,-64842.10526315789,332638464170182.56
7263.157894736845,-53052.63157894737,332634515286804.94
7263.157894736845,-41263.15789473685,332629740906493.9
7263.157894736845,-29473.684210526317,332624912670914.4
7263.157894736845,-17684.21052631579,332619786620849.44
7263.157894736845,-5894.736842105263,332613858882663.56
7263.157894736845,5894.736842105263,332607718149398.7
7263.157894736845,17684.21052631579,332601301498657.2
7263.157894736845,29473.6842105263,332594097986337.5
7263.157894736845,41263.157894736825,332587376756372.1
7263.157894736845,53052.63157894735,332579071510910.8
7263.157894736845,64842.10526315788,332571336103126.1
7263.157894736845,76631.57894736841,332562310195578.4
7263.157894736845,88421.05263157893,332553340096576.9
7263.157894736845,100210.52631578947,332543871131067.5
7263.157894736845,111999.99999999999,332534339678053.5
12105.263157894737,-111999.99999999999,332412694027507.3
12105.263157894737,-100210.52631578947,332410418052042.3
12105.263157894737,-88421.05263157893,332406939032875.75
12105.263157894737,-76631.57894736841,332403629930928.9
12105.263157894737,-64842.10526315789,332399705525196.1
12105.263157894737,-53052.63157894737,332394647764967.7
12105.263157894737,-41263.15789473685,332389713297549.2
12105.263157894737,-29473.684210526317,332383877909479.6
12105.263157894737,-17684.21052631579,332377995989306.7
12105.263157894737,-5894.736842105263,332371141642421.44
12105.263157894737,5894.736842105263,332363032772688.9
12105.263157894737,17684.21052631579,332355814002647.2
12105.263157894737,29473.6842105263,332346967485443.0
12105.263157894737,41263.157894736825,332337248990943.1
12105.263157894737,53052.63157894735,332327784243616.06
12105.263157894737,64842.10526315788,332317081706059.94
12105.263157894737,76631.57894736841,332306144672286.6
12105.263157894737,88421.05263157893,332294608871733.56
12105.263157894737,100210.52631578947,332281854865493.75
12105.263157894737,111999.99999999999,332268814311799.3
16947.368421052637,-111999.99999999999,331768617984913.5
16947.368421052637,-100210.52631578947,331766596280147.5
16947.368421052637,-88421.05263157893,331763292119438.94
16947.368421052637,-76631.57894736841,331759033545103.25
16947.368421052637,-64842.10526315789,331754361747294.4
16947.368421052637,-53052.63157894737,331749147203041.8
16947.368421052637,-41263.15789473685,331743119057502.1
16947.368421052637,-29473.684210526317,331736032700447.3
16947.368421052637,-17684.21052631579,331727618966384.3
16947.368421052637,-5894.736842105263,331720113211178.0
16947.368421052637,5894.736842105263,331709584695458.44
16947.368421052637,17684.21052631579,331699029556157.44
16947.368421052637,29473.6842105263,331688062665114.44
16947.368421052637,41263.157894736825,331676149917071.5
16947.368421052637,53052.63157894735,331663603529798.6
16947.368421052637,64842.10526315788,331649636559818.94
16947.368421052637,76631.57894736841,331635533887597.0
16947.368421052637,88421.05263157893,331620064125728.44
16947.368421052637,100210.52631578947,331603839029018.6
