"GDD, fs^2","TOD, fs^3","Simulated Angular Frequency Width, /s"
-552.6315789473684,-26631.578947368416,315814109056029.75
-552.6315789473684,-21789.473684210527,316220192798507.3
-552.6315789473684,-16947.36842105263,317464740982191.2
-552.6315789473684,-12105.263157894737,318132688412014.2
-552.6315789473684,-7263.157894736841,318508850400417.7
-552.6315789473684,-2421.0526315789452,320113314657638.75
-552.6315789473684,2421.0526315789452,319872311803721.44
-552.6315789473684,7263.157894736845,320238452489408.75
-552.6315789473684,12105.263157894737,318529274632466.4
-552.6315789473684,16947.368421052637,318159881457751.0
-552.6315789473684,21789.473684210527,317423208438124.75
-552.6315789473684,26631.578947368427,316133742785457.56
-552.6315789473684,31473.684210526317,316618712401514.7
-552.6315789473684,36315.789473684206,314481273776604.25
-552.6315789473684,41157.89473684211,312512313614403.4
-552.6315789473684,46000.0,311457701839562.3
-478.9473684210527,-46000.0,313896582160222.6
-478.9473684210527,-41157.89473684211,315025620454289.75
-478.9473684210527,-36315.789473684206,317155106135307.5
-478.9473684210527,-31473.684210526317,317965395791582.2
-478.9473684210527,-26631.578947368416,319485632950467.25
-478.9473684210527,-21789.473684210527,320546155617451.8
-478.9473684210527,-16947.36842105263,321451325469014.9
-478.9473684210527,-12105.263157894737,321353849480047.06
-478.9473684210527,-7263.157894736841,321907712841855.5
-478.9473684210527,-2421.0526315789452,322308749171313.2
-478.9473684210527,2421.0526315789452,322436641724027.56
-478.9473684210527,7263.157894736845,322286959469186.2
-478.9473684210527,12105.263157894737,321866431840736.5
-478.9473684210527,16947.368421052637,321414949661213.8
-478.9473684210527,21789.473684210527,322252309833328.7
-478.9473684210527,26631.578947368427,320589244990743.8
-478.9473684210527,31473.684210526317,319227145832363.6
-478.9473684210527,36315.789473684206,318737604941463.8
-478.9473684210527,41157.89473684211,316989711188021.5
-478.9473684210527,46000.0,315248878974289.56
-405.26315789473693,-46000.0,318037859991161.8
-405.26315789473693,-41157.89473684211,318789265962063.25
-405.26315789473693,-36315.789473684206,320947941250315.6
-405.26315789473693,-31473.684210526317,321378761782219.75
-405.26315789473693,-26631.578947368416,322799644732214.5
-405.26315789473693,-21789.473684210527,323636903207613.9
-405.26315789473693,-16947.36842105263,323961660201068.06
-405.26315789473693,-12105.263157894737,324899354094898.94
-405.26315789473693,-7263.157894736841,325484771572934.0
-405.26315789473693,-2421.0526315789452,325766898004980.2
-405.26315789473693,2421.0526315789452,325855939465720.3
-405.26315789473693,7263.157894736845,325774276071989.25
-405.26315789473693,12105.263157894737,325460440659403.9
-405.26315789473693,16947.368421052637,324779081464839.6
-405.26315789473693,21789.473684210527,323924800654243.7
-405.26315789473693,26631.578947368427,325109208009552.0
-405.26315789473693,31473.684210526317,322791713271209.25
