"Grating Position, mm","GDD, fs^2","TOD, fs^3","Simulated RMS Width, nm"
-0.4,1870,-4090.0,222.58897326101336
-0.35,1640,-3580.0,236.7801709699651
-0.3,1410,-3060.0,273.63322234609285
-0.25,1170,-2550.0,389.4621840878751
-0.2,937,-2040.0,504.62120297767626
-0.15,703,-1530.0,611.0000719621254
-0.1,469,-1020.0,737.4187881559083
-0.05,234,-511,804.7428546055369
0,0,0,834.7216508672984
0.05,-234,511,822.4624205256305
0.1,-469,1020.0,770.5446893012106
0.15,-703,1530.0,681.1906953080041
0.2,-937,2040.0,550.2757212569477
0.25,-1170,2550.0,458.95681648796466
0.3,-1410,3060.0,359.6806726043557
