"Wavelength, nm",Intensity
136.44237175216523,8.996216324416813e-27
136.53333333333333,1.03088652020387e-26
136.62441627751835,1.1233485639839671e-26
136.71562082777035,1.4306698380886108e-26
136.80694722778892,1.7546166284624393e-26
136.89839572192514,1.3927514807691132e-26
136.98996655518394,2.364661396280391e-26
137.08165997322624,1.2745117218332523e-26
137.17347622237108,3.3771733810716986e-25
137.26541554959786,6.197941022251912e-24
137.35747820254863,7.269253907992393e-23
137.4496644295302,7.746434876265232e-22
137.54197447951645,7.207417696513465e-21
137.63440860215053,5.285983254837886e-20
137.72696704774717,2.9893595645074364e-19
137.81965006729476,1.383371619288323e-18
137.9124579124579,5.558749183859726e-18
138.0053908355795,1.978630552413312e-17
138.09844908968307,6.252556960718411e-17
138.19163292847506,1.7732191598514376e-16
138.28494260634707,4.594097367676643e-16
138.37837837837836,1.1032017673535408e-15
138.47194050033806,2.477252447915918e-15
138.5656292286874,5.2346212934222305e-15
138.65944482058225,1.0469187035806144e-14
138.75338753387533,1.9899163186732838e-14
138.84745762711862,3.6049192994670375e-14
138.94165535956583,6.25488949025749e-14
139.03598099117448,1.0458080545952182e-13
139.1304347826087,1.6905645584836609e-13
139.22501699524133,2.644310472218721e-13
139.31972789115645,4.012282269227748e-13
139.4145677331518,5.944716568397767e-13
139.50953678474113,8.675446348829408e-13
139.60463531015677,1.256865636381915e-12
139.69986357435198,1.819827925872083e-12
139.79522184300342,2.6496595758289408e-12
139.89071038251367,3.89994087874223e-12
139.98632946001365,5.8211524087692804e-12
140.08207934336525,8.813188496122903e-12
140.17796030116358,1.3503393258391222e-11
140.27397260273972,2.0864621146273325e-11
140.37011651816314,3.23818487133684e-11
140.46639231824417,5.025498433947803e-11
140.56280027453673,7.763090879076527e-11
140.65934065934067,1.1885926537611913e-10
140.75601374570448,1.7965960875354325e-10
140.85281980742778,2.670377635286307e-10
140.949759119064,3.889530683098019e-10
141.04683195592284,5.537585790825673e-10
141.14403859407307,7.690259286215738e-10
141.24137931034483,1.0395589595786441e-09
141.33885438233264,1.365355167614649e-09
141.4364640883978,1.739516659977325e-09
141.53420870767104,2.1458656576393203e-09
141.6320885200553,2.558290583634577e-09
141.73010380622836,2.943737871943365e-09
141.8282548476454,3.2706740510860425e-09
141.92654192654192,3.525265376141955e-09
142.0249653259362,3.7368609232839945e-09
142.1235253296322,4.0166060874135675e-09
142.22222222222223,4.61106269754618e-09
142.32105628908963,5.968143794945288e-09
142.42002781641168,8.80790211635957e-09
142.51913709116212,1.419557596904209e-08
142.6183844011142,2.3615954311222798e-08
142.7177700348432,3.901793396893269e-08
142.81729428172943,6.281743777844262e-08
142.91695743196092,9.786477452645815e-08
143.0167597765363,1.4733077180308104e-07
143.11670160726763,2.144924252723898e-07
143.21678321678323,3.024263086030729e-07
143.31700489853043,4.1364667975758973e-07
143.4173669467787,5.497311035738201e-07
143.5178696566223,7.109129575236249e-07
143.61851332398317,8.95800255138628e-07
143.71929824561403,1.101333027740017e-06
143.8202247191011,1.3229524122199273e-06
143.92129304286718,1.5552465162798943e-06
144.0225035161744,1.7931113905868056e-06
144.12385643912737,2.0333757531767753e-06
144.22535211267606,2.277109323373773e-06
144.32699083861874,2.532323635187349e-06
144.42877291960508,2.816731551714888e-06
144.530698659139,3.1606601233123743e-06
144.6327683615819,3.609882667407585e-06
144.73498233215545,4.227151306969726e-06
144.83734087694484,5.092067784316593e-06
144.9398443029016,6.301314047348588e-06
145.04249291784703,7.966982469899389e-06
145.14528703047483,1.0209847036030525e-05
145.24822695035462,1.3156666235115022e-05
145.35131298793468,1.6940367550993412e-05
145.45454545454544,2.16870086372995e-05
145.55792466240226,2.751339751673413e-05
145.66145092460883,3.4548568092925426e-05
145.76512455516016,4.2919956048254093e-05
145.86894586894587,5.27431913147962e-05
145.9729151817534,6.419306397272183e-05
146.07703281027102,7.749972534647784e-05
146.18129907209135,9.28798318972159e-05
146.28571428571428,0.0001106737065952979
146.39027877055037,0.00013138888455633632
146.49499284692416,0.00015545057523494495
