iteration,target,energy,pressure,radius,flength,grating_pair_displacement
0,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
1,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
2,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
3,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
4,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
5,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
6,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
7,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
8,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
9,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
10,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
11,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
12,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
13,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
14,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
15,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
16,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
17,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
18,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
19,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
20,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
21,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
22,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
23,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
24,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
25,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
26,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
27,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
28,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
29,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
30,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
31,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
32,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
33,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
34,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
35,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
36,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
37,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
38,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
39,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
40,4.478209722183492e-06,0.0004949874900079226,4.3064704974458765,9.64517029599389e-05,7.50683997836041,-0.00010977800396779741
