SPECTRUM DATA FILE
SpectrumCount:	11
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	pow1_24	pow1_1	pow1_0	pow0_9	pow0_8	pow0_7	pow0_6	pow0_5	pow0_4	pow0_3	pow1_2
Date:	2022-02-16T15:59:59.9267058+00:00	2022-02-16T16:02:25.4351774+00:00	2022-02-16T16:03:57.0377985+00:00	2022-02-16T16:06:19.8417797+00:00	2022-02-16T16:08:22.2451256+00:00	2022-02-16T16:10:29.3486375+00:00	2022-02-16T16:12:12.4520741+00:00	2022-02-16T16:14:06.5548465+00:00	2022-02-16T16:16:13.2576706+00:00	2022-02-16T16:17:47.4606495+00:00	2022-02-16T16:19:54.1635794+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.0872149	0.1110666	0.1229433	0.09682628	0.06592862	0.07021003	0.07415643	0.06700621	0.08959481	0.09693237	0.08867021
Temperature:	23.82187	24.12839	24.23068	24.43546	24.43546	24.6405	24.53796	24.53796	24.53796	24.6405	24.6405
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611	53970	65280	255	12898745
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11
193.1852	5.337448	-0.2345937	-3.063936	-3.379442	2.209098	12.01469	1.523616	-3.966719	-14.70299	-2.967387	3.86394
193.5282	0.907305	4.623148	8.179822	4.394686	-0.6508082	16.02059	13.6297	-0.4618754	-17.1675	-2.251594	11.10108
193.8711	-11.27103	-0.6006473	13.74155	4.925719	-12.77372	-2.281356	10.49141	4.779747	-14.3994	-0.1840052	-4.117593
194.214	-0.8780506	-14.17118	13.05863	17.52597	-8.118059	-5.045982	3.867691	4.795458	-13.1278	10.24779	-0.9161326
194.5569	10.46064	-25.11479	10.99208	16.95896	2.984238	5.759223	5.229828	0.1239375	-10.26677	18.35478	-10.35407
194.8998	4.616277	-15.8617	19.80199	15.18278	16.46378	11.10732	9.5865	-1.391554	-8.33397	15.13317	11.39832
195.2427	0.9365059	-7.298366	25.16675	11.03664	15.17618	7.05714	12.12875	2.552705	-7.807627	23.78209	14.84572
195.5856	3.480072	-7.509591	11.56295	8.253651	19.68417	18.13731	11.56072	4.815936	-13.85424	20.59722	15.24295
195.9285	3.581883	-3.747156	6.057303	7.418616	6.400682	8.727974	12.32115	5.077667	-6.900143	6.850991	11.7891
196.2713	-5.288925	3.40049	5.507496	12.67722	-5.8783	-2.373411	2.194255	6.025541	-3.014335	-6.076578	16.25836
196.6142	-1.20086	7.544298	9.65124	10.21569	-7.52214	-5.333291	2.799393	0.1460861	-11.76598	-0.5720425	8.628954
196.9571	7.077913	-8.053176	1.496283	5.638642	-3.237792	10.40316	-1.311104	-3.940974	-13.06321	4.549738	-1.524017
197.2999	4.786252	-8.848315	-1.44443	-5.350214	-14.43549	11.85821	-4.671576	-11.7117	0.04278268	-1.846259	-1.575923
