"GDD, fs^2","Simulated Angular Frequency Width, /s"
0.0,269559791808604.1
1.0101010101010102,269548486324374.25
2.0202020202020203,269536122242118.3
3.0303030303030307,269524794132679.4
4.040404040404041,269514672465271.84
5.050505050505051,269503736581970.62
6.060606060606061,269492807330608.3
7.070707070707072,269482545812504.66
8.080808080808081,269470397060881.72
9.090909090909092,269461026154064.53
10.101010101010102,269450216938949.9
11.111111111111112,269441106098909.28
12.121212121212123,269430115603113.6
13.131313131313131,269419607705852.84
14.141414141414144,269408233253933.03
15.151515151515152,269399021908857.6
16.161616161616163,269388542188513.12
17.171717171717173,269379359485798.8
18.181818181818183,269371368015279.2
19.191919191919194,269363109438378.6
20.202020202020204,269353213273855.62
21.212121212121215,269344125623827.53
22.222222222222225,269335465402466.12
23.232323232323235,269326282778737.66
24.242424242424246,269318759177422.0
25.252525252525256,269311515995671.06
26.262626262626263,269303335355108.4
27.272727272727277,269296305219876.28
28.282828282828287,269288843236989.75
29.292929292929294,269281739531444.94
30.303030303030305,269275111230934.3
31.31313131313132,269269126777215.3
32.323232323232325,269263313993087.3
33.333333333333336,269257619147285.62
34.343434343434346,269252110536566.8
35.35353535353536,269248306894343.22
36.36363636363637,269243820262830.9
37.37373737373738,269239080958902.16
38.38383838383839,269234314056640.84
39.3939393939394,269234375338187.72
40.40404040404041,269231535085836.2
41.41414141414142,269228520684565.06
42.42424242424243,269227993404623.4
43.43434343434344,269224418493137.03
44.44444444444445,269223301786350.66
45.45454545454546,269227295975789.3
46.46464646464647,269227936235875.97
47.47474747474748,269229537037579.4
48.48484848484849,269231338180505.0
49.4949494949495,269233794547633.28
50.50505050505051,269238979504049.06
51.515151515151516,269243412177886.8
52.525252525252526,269247623397950.75
53.535353535353536,269252649016819.38
54.545454545454554,269261273657124.8
55.555555555555564,269269451493150.1
56.565656565656575,269278995079498.56
57.57575757575758,269288761570422.34
58.58585858585859,269295546180123.25
59.5959595959596,269313395921808.7
60.60606060606061,269326639230498.2
61.61616161616163,269339088323514.56
62.62626262626264,269351616663118.9
63.63636363636365,269371813976611.84
64.64646464646465,269389133731737.38
65.65656565656566,269409669212872.97
66.66666666666667,269430175168932.4
67.67676767676768,269452132241131.0
68.68686868686869,269472307275891.4
69.6969696969697,269499683436037.22
70.70707070707071,269521902292312.5
71.71717171717172,269556391246649.06
72.72727272727273,269584741372306.84
73.73737373737374,269621352254845.1
74.74747474747475,269654486864239.1
75.75757575757576,269686337128849.62
76.76767676767678,269727698705451.5
77.77777777777779,269766735540059.62
78.7878787878788,268424057966540.7
79.7979797979798,268398115656895.56
80.80808080808082,268372696774483.22
81.81818181818183,268347879290824.03
82.82828282828284,268321605875851.3
83.83838383838385,268296512048751.53
84.84848484848486,268271440719611.16
85.85858585858587,268246542664689.9
86.86868686868688,268221076364035.62
87.87878787878789,268196170274242.7
88.8888888888889,268171020169921.03
89.89898989898991,268145696303767.16
90.90909090909092,268121096373484.62
91.91919191919193,268096299192626.88
92.92929292929294,268071164660087.5
93.93939393939395,268045516692679.75
94.94949494949496,268020659926282.56
95.95959595959596,267995374640298.06
96.96969696969698,267970641997900.47
97.979797979798,267945122644554.56
98.989898989899,267919903029182.5
100.00000000000001,267894716208753.72
