"GDD, /s^2","Simulated Angular Frequency Width, /s"
0.0,269560075874389.8
1.0101010101010102,93241796721202.53
2.0202020202020203,86969858268051.95
3.0303030303030303,115360399138963.69
4.040404040404041,81188665615316.45
5.050505050505051,80858486758523.61
6.0606060606060606,86725409368836.17
7.070707070707071,91567834742106.58
8.080808080808081,82219255013867.16
9.090909090909092,90276719490643.53
10.101010101010102,86299886635057.23
11.111111111111112,86953412118969.03
12.121212121212121,175035199007054.25
13.131313131313131,70279588999907.24
14.141414141414142,108924604409361.0
15.151515151515152,91852823547688.03
16.161616161616163,103385574227138.47
17.171717171717173,67499259847535.35
18.181818181818183,143122874848475.16
19.191919191919194,94319597534034.06
20.202020202020204,119327056984638.5
21.212121212121215,110084283357385.67
22.222222222222225,103334508288921.05
23.232323232323235,93133669934516.4
24.242424242424242,69321191625031.66
25.252525252525253,66815349592700.78
26.262626262626263,93313908643193.48
27.272727272727273,102894835938698.22
28.282828282828284,69426939447402.1
29.292929292929294,87556682110229.52
30.303030303030305,79316263647405.22
31.313131313131315,87897936752477.66
32.323232323232325,84901594812832.05
33.333333333333336,106626702454414.69
34.343434343434346,85488647065684.28
35.35353535353536,93776646610120.12
36.36363636363637,83928327524376.84
37.37373737373738,87613454844847.4
38.38383838383839,94088924152363.89
39.3939393939394,55119835790336.69
40.40404040404041,85399534984194.06
41.41414141414142,79496110491600.78
42.42424242424243,79027388139978.81
43.43434343434344,114325881221230.42
44.44444444444445,83015581641913.8
45.45454545454546,67363390927774.016
46.46464646464647,132867541259686.1
47.47474747474748,121792053733646.28
48.484848484848484,55787104076127.49
49.494949494949495,66329395311745.875
50.505050505050505,80800341399170.05
51.515151515151516,70535551505277.22
52.525252525252526,73590743043624.08
53.535353535353536,118369797448643.28
54.54545454545455,92435460241668.0
55.55555555555556,79040759380865.31
56.56565656565657,76113805779967.84
57.57575757575758,108663019231495.38
58.58585858585859,84523253346963.23
59.5959595959596,84165070602331.28
60.60606060606061,67860771683034.01
61.61616161616162,87444776344199.48
62.62626262626263,85499654046966.75
63.63636363636364,90090890644515.39
64.64646464646465,95749939196270.8
65.65656565656566,123568187852980.45
66.66666666666667,100779892782694.48
67.67676767676768,77676841011049.64
68.68686868686869,83601808145156.0
69.6969696969697,85277693933721.75
70.70707070707071,135559313810517.58
71.71717171717172,94118146263365.98
72.72727272727273,67373286877085.64
73.73737373737374,72074039383188.16
74.74747474747475,130551607799775.03
75.75757575757576,105092068934248.94
76.76767676767678,125548534832733.19
77.77777777777779,73344026433510.02
78.7878787878788,78105681738439.89
79.7979797979798,67648645315817.23
80.80808080808082,80672404785245.23
81.81818181818183,111260217142409.1
82.82828282828284,79292121420480.81
83.83838383838385,90742398944204.16
84.84848484848486,96600555752636.95
85.85858585858587,120397520028347.12
86.86868686868688,83913821679560.5
87.87878787878789,73005409081735.9
88.8888888888889,67105392682989.836
89.89898989898991,70133670918916.73
90.90909090909092,87557895499321.1
91.91919191919193,110232689073775.36
92.92929292929294,92499489948948.9
93.93939393939395,61637394227540.7
94.94949494949496,103138940252480.34
95.95959595959597,90071059725974.62
96.96969696969697,73865929348077.27
97.97979797979798,78833037460151.77
98.98989898989899,93216636703761.12
100.0,85827981526045.81
