"GDD, /fs^2","Simulated Angular Frequency Width, /s"
0.0,269559482106762.62
1.0101010101010102,99895578520294.88
2.0202020202020203,111744851003283.14
3.0303030303030303,99636944566405.39
4.040404040404041,85505789397429.0
5.050505050505051,75117701255837.78
6.0606060606060606,60033648103213.01
7.070707070707072,69189936466168.23
8.080808080808081,109190037282148.95
9.090909090909092,95814600085869.67
10.101010101010102,129699511581525.03
11.111111111111112,88485549699717.14
12.121212121212121,82964768020228.72
13.131313131313133,105229640666939.72
14.141414141414144,92028428674710.34
15.151515151515152,78882131654703.11
16.161616161616163,71484147179450.53
17.171717171717173,65547364553971.53
18.181818181818183,89550042910661.05
19.191919191919194,112468428015506.22
20.202020202020204,86299232504277.5
21.212121212121215,74718703844694.22
22.222222222222225,79044280086892.9
23.232323232323232,77862762276358.25
24.242424242424242,71660274436852.1
25.252525252525253,76858937546758.16
26.262626262626267,101168358694173.7
27.272727272727277,99636455485096.45
28.282828282828287,88176623410748.33
29.292929292929294,139557746150149.53
30.303030303030305,149181630914217.72
31.313131313131315,117716930975606.64
32.323232323232325,76336643890130.52
33.333333333333336,80345930853696.89
34.343434343434346,75359122855310.36
35.35353535353536,108066499468517.56
36.36363636363637,106084791438033.17
37.37373737373738,81404092947006.27
38.38383838383839,82985835193644.42
39.3939393939394,113691209064827.16
40.40404040404041,63700815145070.9
41.41414141414142,115964884919799.86
42.42424242424243,97542181731387.58
43.43434343434344,81675122260195.88
44.44444444444445,47527069584232.76
45.45454545454545,136572728951054.81
46.464646464646464,85167624230633.95
47.474747474747474,87584362573126.61
48.484848484848484,115145348637405.02
49.494949494949495,97838301275979.52
50.505050505050505,86830398808910.86
51.515151515151516,97578593722678.48
52.52525252525253,135683656044611.78
53.53535353535354,68003377224759.414
54.545454545454554,85636900690067.72
55.555555555555564,68833704260080.336
56.565656565656575,97733135372676.66
57.575757575757585,79912706119753.33
58.58585858585859,73693116664482.72
59.5959595959596,106029361750086.52
60.60606060606061,119969061185112.95
61.61616161616162,88705271066825.22
62.62626262626263,102708981452077.22
63.63636363636364,74198814249996.19
64.64646464646465,96151213017012.05
65.65656565656566,107436838360209.86
66.66666666666667,87774418026212.19
67.67676767676768,64289100827769.39
68.68686868686869,86355464736812.17
69.6969696969697,118575686166929.28
70.70707070707071,77231385156836.23
71.71717171717172,89393529886242.45
72.72727272727273,108959817833836.53
73.73737373737374,120508475763902.11
74.74747474747475,94081576628705.44
75.75757575757576,93272702999658.06
76.76767676767678,83737662930384.83
77.77777777777779,79023114091079.31
78.7878787878788,67518480732265.54
79.7979797979798,105230193605218.44
80.80808080808082,99341311799531.88
81.81818181818181,111895942456137.97
82.82828282828284,73259837323981.11
83.83838383838383,91979312484139.92
84.84848484848486,84781248057552.69
85.85858585858585,95470696928827.73
86.86868686868688,78084992585787.14
87.87878787878789,108543661002321.64
88.8888888888889,150994931936003.1
89.89898989898991,100214117999174.45
90.9090909090909,74065828662611.75
91.91919191919193,74426447953192.05
92.92929292929293,99750811652108.16
93.93939393939395,81224753437546.62
94.94949494949495,76092519627021.78
95.95959595959597,116184014238190.64
96.96969696969697,95728761117648.22
97.979797979798,103058321152034.36
98.98989898989899,144955551090620.34
100.00000000000001,88541937439358.3
