"Pressure, bar","Pulse energy, mJ","Simulated Angular Frequency Width, /s","Theoretical Angular Frequency Width, /s"
1.0,0.1,99850444900117.8,74729884764430.62
1.736842105263158,0.1,139244033419885.16,129737410488258.03
2.473684210526316,0.1,164275024319174.0,184696957692121.1
3.2105263157894735,0.1,191241181806772.16,239608567336289.97
3.9473684210526314,0.1,218443175462701.94,294472280539294.44
4.684210526315789,0.1,245340329243458.6,349288138568484.7
5.421052631578947,0.1,272217253129314.53,404056182830852.9
6.157894736842105,0.1,298358180936436.3,458776454864114.2
6.894736842105263,0.1,324237924398675.2,513448996328038.06
7.63157894736842,0.1,349190346845012.0,568073848996028.8
8.368421052631579,0.1,373258955929577.3,622651054746949.0
9.105263157894736,0.1,396343068577585.8,677180655557180.2
9.842105263157894,0.1,418802342385523.6,731662693492920.9
10.578947368421051,0.1,439701294181853.0,786097210702709.6
11.31578947368421,0.1,456391411317426.75,840484249410177.9
12.052631578947368,0.1,469609159685969.44,894823851907020.4
12.789473684210526,0.1,486349370721727.5,949116060546182.9
13.526315789473683,0.1,503947491087128.9,1003360917735263.9
14.26315789473684,0.1,521067792024186.8,1057558465930124.2
15.0,0.1,537547649849165.3,1111708747628697.8
1.0,0.2,188047372692490.66,149459769528861.25
1.736842105263158,0.2,236942755086185.84,259474820976516.06
2.473684210526316,0.2,302854796085234.56,369393915384242.2
3.2105263157894735,0.2,361362251158670.3,479217134672579.94
3.9473684210526314,0.2,418347731440530.06,588944561078588.9
4.684210526315789,0.2,473432954776505.25,698576277136969.4
5.421052631578947,0.2,526346924878600.4,808112365661705.8
6.157894736842105,0.2,577031442323082.4,917552909728228.4
6.894736842105263,0.2,624727697759399.1,1026897992656076.1
7.63157894736842,0.2,669398116633505.1,1136147697992057.5
8.368421052631579,0.2,711309778306712.9,1245302109493898.0
9.105263157894736,0.2,750879698301836.6,1354361311114360.5
9.842105263157894,0.2,788279801138625.2,1463325386985841.8
10.578947368421051,0.2,817650952998013.6,1572194421405419.2
11.31578947368421,0.2,837042513857195.9,1680968498820355.8
12.052631578947368,0.2,866579753064716.6,1789647703814040.8
12.789473684210526,0.2,897149799532616.4,1898232121092365.8
13.526315789473683,0.2,926270818273201.9,2006721835470527.8
14.26315789473684,0.2,953381355537388.5,2115116931860248.5
15.0,0.2,978251393020072.0,2223417495257395.5
1.0,0.30000000000000004,238358515740489.72,224189654293291.9
1.736842105263158,0.30000000000000004,351480397752373.4,389212231464774.1
2.473684210526316,0.30000000000000004,451483626199698.75,554090873076363.3
3.2105263157894735,0.30000000000000004,541686646586642.8,718825702008869.9
3.9473684210526314,0.30000000000000004,627035525449650.6,883416841617883.4
4.684210526315789,0.30000000000000004,709449588500282.8,1047864415705454.0
5.421052631578947,0.30000000000000004,786144506530226.0,1212168548492558.8
6.157894736842105,0.30000000000000004,857913846844902.0,1376329364592342.8
6.894736842105263,0.30000000000000004,924502929582403.9,1540346988984114.2
7.63157894736842,0.30000000000000004,987864325224822.0,1704221546988086.2
8.368421052631579,0.30000000000000004,1048830111203838.8,1867953164240847.2
9.105263157894736,0.30000000000000004,1106369777634028.9,2031541966671541.2
9.842105263157894,0.30000000000000004,1152748974735950.2,2194988080478763.0
10.578947368421051,0.30000000000000004,1174146576989529.0,2358291632108128.5
11.31578947368421,0.30000000000000004,1209906302052533.0,2521452748230534.0
12.052631578947368,0.30000000000000004,1246214401575720.0,2684471555721061.5
12.789473684210526,0.30000000000000004,1278936775693544.8,2847348181638549.0
13.526315789473683,0.30000000000000004,1308619069790367.2,3010082753205792.0
14.26315789473684,0.30000000000000004,1335011548205050.8,3172675397790373.0
15.0,0.30000000000000004,1358663132011199.0,3335126242886094.0
1.0,0.4,292053906805964.8,298919539057722.5
1.736842105263158,0.4,476946301817903.44,518949641953032.1
2.473684210526316,0.4,604917513225797.2,738787830768484.4
3.2105263157894735,0.4,726875772762570.8,958434269345159.9
3.9473684210526314,0.4,843256334104271.2,1177889122157177.8
4.684210526315789,0.4,950258725231521.6,1397152554273938.8
5.421052631578947,0.4,1049592285302903.8,1616224731323411.5
6.157894736842105,0.4,1144399728723930.5,1835105819456456.8
6.894736842105263,0.4,1235690393438743.8,2053795985312152.2
7.63157894736842,0.4,1319771337533482.8,2272295395984115.0
8.368421052631579,0.4,1394080302853425.2,2490604218987796.0
9.105263157894736,0.4,1454262919436672.2,2708722622228721.0
9.842105263157894,0.4,1474645306619435.0,2926650773971683.5
10.578947368421051,0.4,1507204206017383.2,3144388842810838.5
11.31578947368421,0.4,1544106098054158.5,3361936997640711.5
12.052631578947368,0.4,1578237556410009.8,3579295407628081.5
12.789473684210526,0.4,1608552194646210.0,3796464242184731.5
13.526315789473683,0.4,1635313082232295.2,4013443670941055.5
14.26315789473684,0.4,1659196062539170.2,4230233863720497.0
15.0,0.4,1679891631788803.2,4446834990514791.0
1.0,0.5,423290553992134.0,373649423822153.1
1.736842105263158,0.5,596683215191958.4,648687052441290.1
2.473684210526316,0.5,763121920833751.9,923484788460605.5
3.2105263157894735,0.5,918104890682299.9,1198042836681450.0
3.9473684210526314,0.5,1062860278785841.5,1472361402696472.0
4.684210526315789,0.5,1196253717990050.0,1746440692842423.8
5.421052631578947,0.5,1325455968916165.5,2020280914154264.8
6.157894736842105,0.5,1447908775739439.2,2293882274320571.0
6.894736842105263,0.5,1554780716827550.5,2567244981640190.0
7.63157894736842,0.5,1644495067271792.8,2840369244980143.5
8.368421052631579,0.5,1717356147102390.0,3113255273734745.0
9.105263157894736,0.5,1747603140553455.8,3385903277785902.0
9.842105263157894,0.5,1766708652473566.0,3658313467464605.0
10.578947368421051,0.5,1803045233857369.8,3930486053513548.0
11.31578947368421,0.5,1837651036195326.0,4202421247050890.5
12.052631578947368,0.5,1868525431842335.5,4474119259535103.0
12.789473684210526,0.5,1895340613618941.0,4745580302730915.0
13.526315789473683,0.5,1919024025598326.8,5016804588676320.0
14.26315789473684,0.5,1939711555270534.0,5287792329650621.0
15.0,0.5,1957894949791299.8,5558543738143489.0
1.0,0.6000000000000001,446384163769476.7,448379308586583.8
1.736842105263158,0.6000000000000001,714624063290922.1,778424462929548.2
2.473684210526316,0.6000000000000001,924211734813684.1,1108181746152726.6
3.2105263157894735,0.6000000000000001,1113831063404265.2,1437651404017739.8
3.9473684210526314,0.6000000000000001,1287762301551816.5,1766833683235766.8
4.684210526315789,0.6000000000000001,1456168643315976.0,2095728831410908.0
5.421052631578947,0.6000000000000001,1615420621373080.8,2424337096985117.5
6.157894736842105,0.6000000000000001,1749449378324611.5,2752658729184685.5
6.894736842105263,0.6000000000000001,1858113724754911.8,3080693977968228.5
7.63157894736842,0.6000000000000001,1943761230936565.0,3408443093976172.5
8.368421052631579,0.6000000000000001,1997152993306319.0,3735906328481694.5
9.105263157894736,0.6000000000000001,1997571180429532.8,4063083933343082.5
