"GDD, fs^2","FoOD, fs^4","Simulated Angular Frequency Width, /s"
-194.7368421052632,-47263.15789473683,269289159712266.8
-194.7368421052632,-37894.73684210526,269331714382370.06
-194.7368421052632,-28526.315789473683,269375055259062.44
-194.7368421052632,-19157.894736842107,269418938658417.53
-194.7368421052632,-9789.473684210529,269464162980387.62
-194.7368421052632,-421.0526315789487,269509821021197.66
-194.7368421052632,8947.36842105263,269555334943582.6
-194.7368421052632,18315.78947368421,269601138447572.28
-194.7368421052632,27684.21052631578,269646000353186.47
-194.7368421052632,37052.63157894737,269689501511086.84
-194.7368421052632,46421.05263157894,269733614253724.97
-194.7368421052632,55789.47368421053,269776909525489.5
-194.7368421052632,65157.8947368421,269818696135787.53
-194.7368421052632,74526.31578947368,269859355923239.78
-194.7368421052632,83894.73684210527,269898956460362.3
-194.7368421052632,93263.15789473684,269936994373822.44
-194.7368421052632,102631.5789473684,269974586109258.62
-194.7368421052632,111999.99999999999,270009861878613.53
-142.1052631578948,-66000.0,270349030540564.72
-142.1052631578948,-56631.57894736841,270364100211221.25
-142.1052631578948,-47263.15789473683,270378505516939.16
-142.1052631578948,-37894.73684210526,270391800800300.6
-142.1052631578948,-28526.315789473683,270404418265009.22
-142.1052631578948,-19157.894736842107,270415249053103.6
-142.1052631578948,-9789.473684210529,270426101995776.84
-142.1052631578948,-421.0526315789487,270435618040801.0
-142.1052631578948,8947.36842105263,270444404989238.4
-142.1052631578948,18315.78947368421,270452133630131.22
-142.1052631578948,27684.21052631578,270459550095813.1
-142.1052631578948,37052.63157894737,270466395156032.72
-142.1052631578948,46421.05263157894,270472991139093.53
-142.1052631578948,55789.47368421053,270478338052631.97
-142.1052631578948,65157.8947368421,270483870962351.3
-142.1052631578948,74526.31578947368,270488620857228.94
-142.1052631578948,83894.73684210527,270493149419100.03
-142.1052631578948,93263.15789473684,270497314810638.03
-142.1052631578948,102631.5789473684,270501728252969.0
-142.1052631578948,111999.99999999999,270504760562502.28
-89.47368421052636,-66000.0,271760385200579.66
-89.47368421052636,-56631.57894736841,271665486822687.9
-89.47368421052636,-47263.15789473683,271577017620522.47
-89.47368421052636,-37894.73684210526,271493581704569.22
-89.47368421052636,-28526.315789473683,271409586438983.44
-89.47368421052636,-19157.894736842107,271337053394083.7
-89.47368421052636,-9789.473684210529,271264989582650.1
-89.47368421052636,-421.0526315789487,271193529964835.8
-89.47368421052636,8947.36842105263,271125005481054.3
-89.47368421052636,18315.78947368421,271067358568566.53
-89.47368421052636,27684.21052631578,271010402895640.2
-89.47368421052636,37052.63157894737,270955749037599.62
-89.47368421052636,46421.05263157894,270901591458207.3
-89.47368421052636,55789.47368421053,270850346423284.34
-89.47368421052636,65157.8947368421,270802291207655.84
-89.47368421052636,74526.31578947368,270754916267568.1
-89.47368421052636,83894.73684210527,270708890552167.22
-89.47368421052636,93263.15789473684,270670362103545.25
-89.47368421052636,102631.5789473684,270630077125143.8
-89.47368421052636,111999.99999999999,270589031088543.2
-36.84210526315793,-66000.0,270155794416597.03
-36.84210526315793,-56631.57894736841,270131997127757.06
-36.84210526315793,-47263.15789473683,270108809662823.9
-36.84210526315793,-37894.73684210526,270086264481078.0
-36.84210526315793,-28526.315789473683,270064743738413.34
-36.84210526315793,-19157.894736842107,270043130401297.6
-36.84210526315793,-9789.473684210529,270021489151074.34
-36.84210526315793,-421.0526315789487,270001379908792.28
-36.84210526315793,8947.36842105263,269980931413813.03
-36.84210526315793,18315.78947368421,269959322993912.5
-36.84210526315793,27684.21052631578,269940118012471.44
-36.84210526315793,37052.63157894737,269919466731619.28
-36.84210526315793,46421.05263157894,269901523659257.9
-36.84210526315793,55789.47368421053,269882112745283.78
-36.84210526315793,65157.8947368421,269864246658061.5
-36.84210526315793,74526.31578947368,269844708692557.4
-36.84210526315793,83894.73684210527,269824473446826.4
-36.84210526315793,93263.15789473684,269805439230409.56
-36.84210526315793,102631.5789473684,269787163012188.7
-36.84210526315793,111999.99999999999,269768940167074.12
15.789473684210458,-66000.0,269506100092784.84
15.789473684210458,-56631.57894736841,269489783830998.5
15.789473684210458,-47263.15789473683,269473955980633.44
15.789473684210458,-37894.73684210526,269457909474464.7
15.789473684210458,-28526.315789473683,269441297919806.94
15.789473684210458,-19157.894736842107,269424010806223.94
15.789473684210458,-9789.473684210529,269408617520405.16
15.789473684210458,-421.0526315789487,269393608904953.47
15.789473684210458,8947.36842105263,269377587546128.8
15.789473684210458,18315.78947368421,269365598689151.78
15.789473684210458,27684.21052631578,269351821196097.12
15.789473684210458,37052.63157894737,269338117061844.94
15.789473684210458,46421.05263157894,269325446536246.53
15.789473684210458,55789.47368421053,269312262552391.5
15.789473684210458,65157.8947368421,269300597623081.34
15.789473684210458,74526.31578947368,269289880218774.25
15.789473684210458,83894.73684210527,269280021322522.03
15.789473684210458,93263.15789473684,269270705837661.62
15.789473684210458,102631.5789473684,269262811555703.53
15.789473684210458,111999.99999999999,269255332936934.97
68.42105263157889,-66000.0,269287029568491.22
68.42105263157889,-56631.57894736841,269303255358954.84
68.42105263157889,-47263.15789473683,269319487238125.97
68.42105263157889,-37894.73684210526,269344620047776.03
68.42105263157889,-28526.315789473683,269371431865204.66
68.42105263157889,-19157.894736842107,269400421308867.62
68.42105263157889,-9789.473684210529,269432486883391.22
68.42105263157889,-421.0526315789487,269464990966978.94
68.42105263157889,8947.36842105263,269506048458683.28
68.42105263157889,18315.78947368421,269545521391238.3
68.42105263157889,27684.21052631578,269599237059461.25
68.42105263157889,37052.63157894737,269651247775724.0
68.42105263157889,46421.05263157894,269711433496603.97
68.42105263157889,55789.47368421053,269769800719017.66
68.42105263157889,65157.8947368421,268406373138460.94
68.42105263157889,74526.31578947368,268366858656731.62
68.42105263157889,83894.73684210527,268326683128230.0
68.42105263157889,93263.15789473684,268286963093188.12
68.42105263157889,102631.5789473684,268247172441538.25
68.42105263157889,111999.99999999999,268207545727925.16
121.05263157894733,-66000.0,267642172189935.06
121.05263157894733,-56631.57894736841,267600328293183.0
121.05263157894733,-47263.15789473683,267558106392469.16
121.05263157894733,-37894.73684210526,267515245372807.12
121.05263157894733,-28526.315789473683,267471878938211.78
121.05263157894733,-19157.894736842107,267427304005448.22
121.05263157894733,-9789.473684210529,267382589469788.06
121.05263157894733,-421.0526315789487,267337687149080.03
121.05263157894733,8947.36842105263,267291525451415.62
121.05263157894733,18315.78947368421,267243911872677.7
121.05263157894733,27684.21052631578,267195107765797.84
121.05263157894733,37052.63157894737,267146023159858.34
121.05263157894733,46421.05263157894,267095731019237.97
121.05263157894733,55789.47368421053,267044164779532.94
121.05263157894733,65157.8947368421,266991494117997.5
