"GDD, fs^2","TOD, fs^3","Simulated Angular Frequency Width, /s"
5.263157894736857,-5.263157894736843,269501448133313.25
5.263157894736857,5.263157894736843,269501030455779.75
5.263157894736857,15.78947368421053,269500615936804.22
5.263157894736857,26.315789473684195,269499830724164.88
5.263157894736857,36.84210526315788,269499895419601.22
5.263157894736857,47.36842105263157,269499200193348.53
5.263157894736857,57.89473684210525,269499303800533.06
5.263157894736857,68.42105263157895,269498363949442.78
5.263157894736857,78.94736842105263,269497637508930.22
5.263157894736857,89.47368421052632,269497276250438.53
5.263157894736857,100.0,269497104332319.8
15.789473684210526,-100.0,269395133952400.56
15.789473684210526,-89.47368421052632,269395372345269.03
15.789473684210526,-78.94736842105263,269394789392617.3
15.789473684210526,-68.42105263157895,269394856425756.53
15.789473684210526,-57.89473684210527,269394141730157.06
15.789473684210526,-47.36842105263158,269394112533230.84
15.789473684210526,-36.842105263157904,269393398829733.97
15.789473684210526,-26.315789473684216,269393700478572.53
15.789473684210526,-15.78947368421053,269393182048038.7
15.789473684210526,-5.263157894736843,269392653212841.62
15.789473684210526,5.263157894736843,269392678966877.34
15.789473684210526,15.78947368421053,269392536065227.7
15.789473684210526,26.315789473684195,269391865687389.56
15.789473684210526,36.84210526315788,269391634729751.72
15.789473684210526,47.36842105263157,269391243395264.78
15.789473684210526,57.89473684210525,269391037364486.88
15.789473684210526,68.42105263157895,269390826765594.06
15.789473684210526,78.94736842105263,269390166238453.75
15.789473684210526,89.47368421052632,269389444898985.44
15.789473684210526,100.0,269389447832249.3
26.315789473684216,-100.0,269306591915069.4
26.315789473684216,-89.47368421052632,269306535994802.7
26.315789473684216,-78.94736842105263,269305862557101.4
26.315789473684216,-68.42105263157895,269305955261891.4
26.315789473684216,-57.89473684210527,269305089610858.8
26.315789473684216,-47.36842105263158,269304464719007.34
26.315789473684216,-36.842105263157904,269304728777169.25
26.315789473684216,-26.315789473684216,269303589610324.34
26.315789473684216,-15.78947368421053,269303268243859.88
26.315789473684216,-5.263157894736843,269302878815815.2
26.315789473684216,5.263157894736843,269302541116904.1
26.315789473684216,15.78947368421053,269302274258594.38
26.315789473684216,26.315789473684195,269301756830251.22
26.315789473684216,36.84210526315788,269301858030121.44
26.315789473684216,47.36842105263157,269301214192986.84
26.315789473684216,57.89473684210525,269300513988515.75
26.315789473684216,68.42105263157895,269300230086101.38
26.315789473684216,78.94736842105263,269299517437424.9
26.315789473684216,89.47368421052632,269299672485656.2
26.315789473684216,100.0,269299329486809.22
36.842105263157904,-100.0,269245254360025.7
36.842105263157904,-89.47368421052632,269244928320272.84
36.842105263157904,-78.94736842105263,269244734973617.28
36.842105263157904,-68.42105263157895,269244686733731.72
36.842105263157904,-57.89473684210527,269244059384564.56
36.842105263157904,-47.36842105263158,269243500030514.72
36.842105263157904,-36.842105263157904,269242785349929.38
36.842105263157904,-26.315789473684216,269242373160165.84
36.842105263157904,-15.78947368421053,269242548982582.4
36.842105263157904,-5.263157894736843,269242069130549.4
36.842105263157904,5.263157894736843,269241366489336.6
36.842105263157904,15.78947368421053,269240930154735.5
36.842105263157904,26.315789473684195,269240818296767.34
36.842105263157904,36.84210526315788,269240546731652.75
36.842105263157904,47.36842105263157,269240005824007.38
36.842105263157904,57.89473684210525,269239715302899.22
36.842105263157904,68.42105263157895,269238388967958.34
36.842105263157904,78.94736842105263,269238302207102.25
36.842105263157904,89.47368421052632,269237843987952.47
36.842105263157904,100.0,269237430925248.44
47.368421052631575,-100.0,269232503013234.34
47.368421052631575,-89.47368421052632,269232093920705.03
47.368421052631575,-78.94736842105263,269231784990030.6
47.368421052631575,-68.42105263157895,269231294194353.7
47.368421052631575,-57.89473684210527,269231177177102.06
47.368421052631575,-47.36842105263158,269231455028143.94
47.368421052631575,-36.842105263157904,269230619007772.56
47.368421052631575,-26.315789473684216,269230321656424.56
47.368421052631575,-15.78947368421053,269230093780297.2
47.368421052631575,-5.263157894736843,269229120398005.6
47.368421052631575,5.263157894736843,269229603515745.66
47.368421052631575,15.78947368421053,269228807525054.47
47.368421052631575,26.315789473684195,269228341863703.03
47.368421052631575,36.84210526315788,269228229104830.7
47.368421052631575,47.36842105263157,269227946862431.62
47.368421052631575,57.89473684210525,269227088912453.12
47.368421052631575,68.42105263157895,269226890744594.06
47.368421052631575,78.94736842105263,269226779004654.56
47.368421052631575,89.47368421052632,269226717186411.78
47.368421052631575,100.0,269226025190403.94
57.89473684210527,-100.0,269296685041805.84
57.89473684210527,-89.47368421052632,269296176899611.4
57.89473684210527,-78.94736842105263,269295676869222.06
57.89473684210527,-68.42105263157895,269294961702011.28
57.89473684210527,-57.89473684210527,269294438765798.3
57.89473684210527,-47.36842105263158,269294022178523.4
57.89473684210527,-36.842105263157904,269293757147654.16
57.89473684210527,-26.315789473684216,269293342614082.3
57.89473684210527,-15.78947368421053,269292099708427.62
57.89473684210527,-5.263157894736843,269291438230811.1
57.89473684210527,5.263157894736843,269290631828582.84
57.89473684210527,15.78947368421053,269290128499463.22
57.89473684210527,26.315789473684195,269289573707418.0
57.89473684210527,36.84210526315788,269288346357730.5
57.89473684210527,47.36842105263157,269287652934127.62
57.89473684210527,57.89473684210525,269287140782115.03
57.89473684210527,68.42105263157895,269286650755108.3
57.89473684210527,78.94736842105263,269285801923305.78
57.89473684210527,89.47368421052632,269285678742589.25
57.89473684210527,100.0,269285575583831.5
