"GDD, fs^2","TOD, fs^3","Simulated Angular Frequency Width, /s"
-194.7368421052632,34947.36842105263,263319260079459.2
-194.7368421052632,38631.57894736843,261590890487472.03
-194.7368421052632,42315.78947368421,260638191999983.53
-194.7368421052632,46000.0,258980542442062.0
-142.1052631578948,-23999.999999999996,268651307346504.12
-142.1052631578948,-20315.789473684206,268794538612347.9
-142.1052631578948,-16631.578947368416,269319952680246.9
-142.1052631578948,-12947.368421052626,269965191260072.56
-142.1052631578948,-9263.157894736838,270344247099116.72
-142.1052631578948,-5578.947368421048,270494986248769.3
-142.1052631578948,-1894.7368421052588,270488529809445.9
-142.1052631578948,1789.4736842105306,270356956818356.8
-142.1052631578948,5473.68421052632,270102578325719.06
-142.1052631578948,9157.89473684211,269702130942973.62
-142.1052631578948,12842.105263157899,269092887025882.7
-142.1052631578948,16526.315789473687,268212108477142.06
-142.1052631578948,20210.526315789477,267297058192494.8
-142.1052631578948,23894.73684210527,267697658758343.88
-142.1052631578948,27578.947368421057,266020707467803.34
-142.1052631578948,31263.15789473684,264599331704756.5
-142.1052631578948,34947.36842105263,263675204537631.66
-142.1052631578948,38631.57894736843,262464879931563.2
-142.1052631578948,42315.78947368421,260558181347476.3
-142.1052631578948,46000.0,259618425491330.66
-89.47368421052636,-23999.999999999996,268320624256652.97
-89.47368421052636,-20315.789473684206,269106562555614.34
-89.47368421052636,-16631.578947368416,269884189663176.12
-89.47368421052636,-12947.368421052626,270286671740186.22
-89.47368421052636,-9263.157894736838,270491638961592.6
-89.47368421052636,-5578.947368421048,271849257507113.06
-89.47368421052636,-1894.7368421052588,271311649711149.62
-89.47368421052636,1789.4736842105306,271150391986166.62
-89.47368421052636,5473.68421052632,271335367356172.47
-89.47368421052636,9157.89473684211,269805302178293.56
-89.47368421052636,12842.105263157899,269325910335382.5
-89.47368421052636,16526.315789473687,268671228920811.75
-89.47368421052636,20210.526315789477,267658678654116.94
-89.47368421052636,23894.73684210527,266530851153230.22
-89.47368421052636,27578.947368421057,267328293848686.66
-89.47368421052636,31263.15789473684,264998264540907.97
-89.47368421052636,34947.36842105263,263306915627290.88
-89.47368421052636,38631.57894736843,262501833762081.62
-89.47368421052636,42315.78947368421,260946289937014.03
-89.47368421052636,46000.0,260116794966711.53
-36.84210526315793,-23999.999999999996,268130735712081.06
-36.84210526315793,-20315.789473684206,269120254065348.5
-36.84210526315793,-16631.578947368416,269713724637499.2
-36.84210526315793,-12947.368421052626,270028178555185.7
-36.84210526315793,-9263.157894736838,270842685433043.44
-36.84210526315793,-5578.947368421048,270299440412021.1
-36.84210526315793,-1894.7368421052588,270078393695820.44
-36.84210526315793,1789.4736842105306,269933420061274.72
-36.84210526315793,5473.68421052632,269863350116518.12
-36.84210526315793,9157.89473684211,270101455770285.4
-36.84210526315793,12842.105263157899,269028781476447.1
-36.84210526315793,16526.315789473687,268431345047276.56
-36.84210526315793,20210.526315789477,267567469389315.5
-36.84210526315793,23894.73684210527,266309429519766.66
-36.84210526315793,27578.947368421057,265869710810952.78
-36.84210526315793,31263.15789473684,264740374759044.8
-36.84210526315793,34947.36842105263,263179230360342.16
-36.84210526315793,38631.57894736843,262737809132737.16
-36.84210526315793,42315.78947368421,260812986567097.28
-36.84210526315793,46000.0,259178016985104.34
15.789473684210458,-23999.999999999996,267567953891934.1
15.789473684210458,-20315.789473684206,268545841982607.62
15.789473684210458,-16631.578947368416,269120186521341.34
15.789473684210458,-12947.368421052626,269426405020822.75
15.789473684210458,-9263.157894736838,270227150221006.1
15.789473684210458,-5578.947368421048,269689277060250.8
15.789473684210458,-1894.7368421052588,269472158831729.22
15.789473684210458,1789.4736842105306,269331231519160.22
15.789473684210458,5473.68421052632,269271925116318.28
15.789473684210458,9157.89473684211,269559867717010.88
