"Pulse energy, mJ","Compressor Grating Position, m","Simulated Angular Frequency Width, /s"
0.1,-0.0005,51258616990916.25
0.1,-0.0004473684210526316,51364790495745.484
0.1,-0.00039473684210526315,51769350317659.73
0.1,-0.00034210526315789477,52461270515215.68
0.1,-0.0002894736842105263,53438095281831.086
0.1,-0.0002368421052631579,54668535677151.28
0.1,-0.00018421052631578948,56107529748264.85
0.1,-0.00013157894736842105,57642019448120.64
0.1,-7.894736842105262e-05,58877717943119.1
0.1,-2.6315789473684188e-05,60073706575752.37
0.1,2.6315789473684188e-05,60920725994399.2
0.1,7.894736842105267e-05,61360171932045.83
0.1,0.00013157894736842105,61440189370247.625
0.1,0.00018421052631578953,61099867391395.43
0.1,0.0002368421052631579,60295208054993.77
0.1,0.0002894736842105264,59294885121253.01
0.1,0.00034210526315789477,58199433403579.99
0.1,0.00039473684210526315,56988280124808.16
0.1,0.00044736842105263163,55846230246882.836
0.1,0.0005,54892412859536.26
0.1631578947368421,-0.0005,52253449902857.1
0.1631578947368421,-0.0004473684210526316,52876580049304.56
0.1631578947368421,-0.00039473684210526315,53878767661716.836
0.1631578947368421,-0.00034210526315789477,55490623574837.91
0.1631578947368421,-0.0002894736842105263,57529383194181.484
0.1631578947368421,-0.0002368421052631579,59987143535879.28
0.1631578947368421,-0.00018421052631578948,62262680262270.234
0.1631578947368421,-0.00013157894736842105,64590215742845.72
0.1631578947368421,-7.894736842105262e-05,66870937338743.75
0.1631578947368421,-2.6315789473684188e-05,68761594139786.305
0.1631578947368421,2.6315789473684188e-05,70070781526151.695
0.1631578947368421,7.894736842105267e-05,70688549178306.81
0.1631578947368421,0.00013157894736842105,70547346283393.86
0.1631578947368421,0.00018421052631578953,69710182046649.984
0.1631578947368421,0.0002368421052631579,68285909656818.5
0.1631578947368421,0.0002894736842105264,66358649479388.125
0.1631578947368421,0.00034210526315789477,64236960427793.49
0.1631578947368421,0.00039473684210526315,61899486103979.87
0.1631578947368421,0.00044736842105263163,59887240249871.37
0.1631578947368421,0.0005,57922231515487.46
0.22631578947368422,-0.0005,54220732123814.984
0.22631578947368422,-0.0004473684210526316,54895771223564.79
0.22631578947368422,-0.00039473684210526315,56543359081430.87
0.22631578947368422,-0.00034210526315789477,58665473986491.22
0.22631578947368422,-0.0002894736842105263,61376096418927.016
0.22631578947368422,-0.0002368421052631579,64643892597713.21
0.22631578947368422,-0.00018421052631578948,68355566829130.234
0.22631578947368422,-0.00013157894736842105,71962012495806.84
0.22631578947368422,-7.894736842105262e-05,75576992713870.75
0.22631578947368422,-2.6315789473684188e-05,78396084514643.58
0.22631578947368422,2.6315789473684188e-05,81027536842599.03
0.22631578947368422,7.894736842105267e-05,81206932221372.34
0.22631578947368422,0.00013157894736842105,80694813595013.17
0.22631578947368422,0.00018421052631578953,79487712975809.05
0.22631578947368422,0.0002368421052631579,77060981427648.97
0.22631578947368422,0.0002894736842105264,74200555447364.47
0.22631578947368422,0.00034210526315789477,70835598298599.7
0.22631578947368422,0.00039473684210526315,67573963529352.94
0.22631578947368422,0.00044736842105263163,64256115747566.78
0.22631578947368422,0.0005,61371733277211.99
0.28947368421052627,-0.0005,55960145944878.78
0.28947368421052627,-0.0004473684210526316,57132777066010.81
0.28947368421052627,-0.00039473684210526315,59010593826871.89
0.28947368421052627,-0.00034210526315789477,61681553803459.234
0.28947368421052627,-0.0002894736842105263,65679269923120.35
0.28947368421052627,-0.0002368421052631579,70844017187205.84
0.28947368421052627,-0.00018421052631578948,77001008091058.27
0.28947368421052627,-0.00013157894736842105,83189752167011.25
0.28947368421052627,-7.894736842105262e-05,88890924158704.23
0.28947368421052627,-2.6315789473684188e-05,92812870994708.72
0.28947368421052627,2.6315789473684188e-05,95372018824547.89
0.28947368421052627,7.894736842105267e-05,96452319197514.86
0.28947368421052627,0.00013157894736842105,94788296788980.3
0.28947368421052627,0.00018421052631578953,92024557988534.48
0.28947368421052627,0.0002368421052631579,88050877281306.02
0.28947368421052627,0.0002894736842105264,84132727253922.53
0.28947368421052627,0.00034210526315789477,78635702515461.52
0.28947368421052627,0.00039473684210526315,73947398728893.25
0.28947368421052627,0.00044736842105263163,69386124800400.51
0.28947368421052627,0.0005,65690481587516.16
0.3526315789473684,-0.0005,58418208665242.32
0.3526315789473684,-0.0004473684210526316,59451288857871.65
0.3526315789473684,-0.00039473684210526315,61653390346490.94
0.3526315789473684,-0.00034210526315789477,65646190274503.05
0.3526315789473684,-0.0002894736842105263,72528067392729.36
0.3526315789473684,-0.0002368421052631579,81766405021083.08
0.3526315789473684,-0.00018421052631578948,91864723898580.73
0.3526315789473684,-0.00013157894736842105,101906539809093.86
0.3526315789473684,-7.894736842105262e-05,110140428649197.73
0.3526315789473684,-2.6315789473684188e-05,115523753925045.88
0.3526315789473684,2.6315789473684188e-05,118393636010271.42
0.3526315789473684,7.894736842105267e-05,118296961510160.81
0.3526315789473684,0.00013157894736842105,114959673689208.42
0.3526315789473684,0.00018421052631578953,110329619275898.5
0.3526315789473684,0.0002368421052631579,103113217736129.31
0.3526315789473684,0.0002894736842105264,95939960768284.81
0.3526315789473684,0.00034210526315789477,88469501748371.11
0.3526315789473684,0.00039473684210526315,81090206181758.88
0.3526315789473684,0.00044736842105263163,75129266602899.72
0.3526315789473684,0.0005,70439554499352.9
0.41578947368421054,-0.0005,61070317397469.22
0.41578947368421054,-0.0004473684210526316,61974508928369.48
0.41578947368421054,-0.00039473684210526315,65798542795931.16
0.41578947368421054,-0.00034210526315789477,73371605720959.2
0.41578947368421054,-0.0002894736842105263,84548854670313.77
0.41578947368421054,-0.0002368421052631579,99356460955102.47
0.41578947368421054,-0.00018421052631578948,114163914388008.88
0.41578947368421054,-0.00013157894736842105,126638289908849.62
0.41578947368421054,-7.894736842105262e-05,136985956287217.83
0.41578947368421054,-2.6315789473684188e-05,142606301316776.9
0.41578947368421054,2.6315789473684188e-05,145029477475521.94
0.41578947368421054,7.894736842105267e-05,144368531133578.7
0.41578947368421054,0.00013157894736842105,139671140112982.17
0.41578947368421054,0.00018421052631578953,132417868642213.83
0.41578947368421054,0.0002368421052631579,122779572432133.48
0.41578947368421054,0.0002894736842105264,111817835669653.6
0.41578947368421054,0.00034210526315789477,100715473524143.84
0.41578947368421054,0.00039473684210526315,90630574610309.52
0.41578947368421054,0.00044736842105263163,82737543463351.8
0.41578947368421054,0.0005,75922597655981.06
0.47894736842105257,-0.0005,64211162052946.26
0.47894736842105257,-0.0004473684210526316,66278309658953.28
0.47894736842105257,-0.00039473684210526315,73006110658051.84
0.47894736842105257,-0.00034210526315789477,85575876259504.45
