"Pressure, bar","Compressor Grating Position, m","Simulated Angular Frequency Width, /s"
0.01,-0.0005,51448224017438.914
0.01,-0.0004473684210526316,51456491431683.555
0.01,-0.00039473684210526315,51530338134806.25
0.01,-0.00034210526315789477,51559502871941.2
0.01,-0.0002894736842105263,51598480661756.414
0.01,-0.0002368421052631579,51722012826361.12
0.01,-0.00018421052631578948,51818986494610.484
0.01,-0.00013157894736842105,51805359045290.875
0.01,-7.894736842105262e-05,51874345847304.234
0.01,-2.6315789473684188e-05,51954858939034.41
0.01,2.6315789473684188e-05,51997120669040.52
0.01,7.894736842105267e-05,52024960974315.79
0.01,0.00013157894736842105,52059160568907.12
0.01,0.00018421052631578953,52129745465538.98
0.01,0.0002368421052631579,52058415677210.23
0.01,0.0002894736842105264,51933150622594.43
0.01,0.00034210526315789477,51874751725216.9
0.01,0.00039473684210526315,51815258386979.44
0.01,0.00044736842105263163,51696841141217.26
0.01,0.0005,51642783650630.42
0.19368421052631582,-0.0005,56248431544134.05
0.19368421052631582,-0.0004473684210526316,56665919623483.4
0.19368421052631582,-0.00039473684210526315,56948107266715.13
0.19368421052631582,-0.00034210526315789477,59961868698278.695
0.19368421052631582,-0.0002894736842105263,60255660937972.414
0.19368421052631582,-0.0002368421052631579,61106796511446.305
0.19368421052631582,-0.00018421052631578948,62440464709344.45
0.19368421052631582,-0.00013157894736842105,64581871530052.64
0.19368421052631582,-7.894736842105262e-05,64137918492231.664
0.19368421052631582,-2.6315789473684188e-05,64262153457421.19
0.19368421052631582,2.6315789473684188e-05,65257639552495.164
0.19368421052631582,7.894736842105267e-05,66475948138482.36
0.19368421052631582,0.00013157894736842105,67981563160365.34
0.19368421052631582,0.00018421052631578953,66996055975938.77
0.19368421052631582,0.0002368421052631579,66128704118230.52
0.19368421052631582,0.0002894736842105264,65582662396843.164
0.19368421052631582,0.00034210526315789477,64934060346525.086
0.19368421052631582,0.00039473684210526315,61711112034841.734
0.19368421052631582,0.00044736842105263163,60723065445089.03
0.19368421052631582,0.0005,59506108388027.15
0.37736842105263163,-0.0005,67164229569599.83
0.37736842105263163,-0.0004473684210526316,73830028934733.17
0.37736842105263163,-0.00039473684210526315,83619773018174.9
0.37736842105263163,-0.00034210526315789477,99826345966712.9
0.37736842105263163,-0.0002894736842105263,112762721310415.38
0.37736842105263163,-0.0002368421052631579,128435913617909.55
0.37736842105263163,-0.00018421052631578948,143693165220353.1
0.37736842105263163,-0.00013157894736842105,156016214672255.78
0.37736842105263163,-7.894736842105262e-05,164002052862961.03
0.37736842105263163,-2.6315789473684188e-05,171179536226029.94
0.37736842105263163,2.6315789473684188e-05,171761283081363.78
0.37736842105263163,7.894736842105267e-05,165954436460004.28
0.37736842105263163,0.00013157894736842105,158809718898929.97
0.37736842105263163,0.00018421052631578953,147825744805794.28
0.37736842105263163,0.0002368421052631579,134173424287742.3
0.37736842105263163,0.0002894736842105264,118736637852852.42
0.37736842105263163,0.00034210526315789477,106357689222170.67
0.37736842105263163,0.00039473684210526315,90332550724545.25
0.37736842105263163,0.00044736842105263163,80341375269795.31
0.37736842105263163,0.0005,72800959174354.7
0.5610526315789475,-0.0005,104251845365495.14
0.5610526315789475,-0.0004473684210526316,113855079347090.58
0.5610526315789475,-0.00039473684210526315,123304003600046.8
0.5610526315789475,-0.00034210526315789477,132846346981690.16
0.5610526315789475,-0.0002894736842105263,138758291024968.11
0.5610526315789475,-0.0002368421052631579,142966811433975.3
0.5610526315789475,-0.00018421052631578948,145371860403405.3
0.5610526315789475,-0.00013157894736842105,146527387413628.7
0.5610526315789475,-7.894736842105262e-05,147080061917128.28
0.5610526315789475,-2.6315789473684188e-05,147748260355750.62
0.5610526315789475,2.6315789473684188e-05,148552099961810.94
0.5610526315789475,7.894736842105267e-05,149395629625025.38
0.5610526315789475,0.00013157894736842105,150155819221735.2
0.5610526315789475,0.00018421052631578953,149954361128696.06
0.5610526315789475,0.0002368421052631579,147851110766368.5
0.5610526315789475,0.0002894736842105264,144144917878012.38
0.5610526315789475,0.00034210526315789477,137653482326710.92
0.5610526315789475,0.00039473684210526315,128620819486034.25
0.5610526315789475,0.00044736842105263163,118722273699873.78
0.5610526315789475,0.0005,108794029683558.75
0.7447368421052633,-0.0005,57759050819050.734
0.7447368421052633,-0.0004473684210526316,59043092895301.914
0.7447368421052633,-0.00039473684210526315,68422865372213.55
0.7447368421052633,-0.00034210526315789477,87270734255944.19
0.7447368421052633,-0.0002894736842105263,112367737187986.81
0.7447368421052633,-0.0002368421052631579,141085565949475.1
0.7447368421052633,-0.00018421052631578948,167654619085050.7
0.7447368421052633,-0.00013157894736842105,191825315928780.72
0.7447368421052633,-7.894736842105262e-05,208233373728108.16
