"Wavelength, nm",Intensity
136.44237175216523,4.486415675929886e-25
136.53333333333333,4.9248583759503205e-25
136.62441627751835,5.588953954523261e-25
136.71562082777035,6.360663714796231e-25
136.80694722778892,7.118879023956352e-25
136.89839572192514,8.354203401673826e-25
136.98996655518394,9.891471890200709e-25
137.08165997322624,1.1477732888004656e-24
137.17347622237108,2.2223230909482805e-24
137.26541554959786,8.29352249293789e-24
137.35747820254863,7.888282255877845e-24
137.4496644295302,7.680422127188026e-22
137.54197447951645,7.412538661343529e-21
137.63440860215053,1.2352948698558539e-20
137.72696704774717,1.8238838709764552e-20
137.81965006729476,2.741137461313946e-19
137.9124579124579,1.1820993312628077e-18
138.0053908355795,1.065126205469217e-18
138.09844908968307,9.373488111005e-19
138.19163292847506,8.154377459165123e-18
138.28494260634707,1.5382335765385414e-17
138.37837837837836,1.0809511572859639e-17
138.47194050033806,2.801246220452775e-18
138.5656292286874,6.474907440033176e-17
138.65944482058225,9.034597236729539e-17
138.75338753387533,2.4388997038236047e-17
138.84745762711862,9.697127816395573e-18
138.94165535956583,2.3361361945775324e-16
139.03598099117448,3.129055864570365e-16
139.1304347826087,1.4454507452485923e-17
139.22501699524133,7.865640370057239e-17
139.31972789115645,8.608747484333644e-16
139.4145677331518,1.1018943284526145e-15
139.50953678474113,4.7836555764558146e-18
139.60463531015677,4.841358706187312e-16
139.69986357435198,1.6055604615795367e-15
139.79522184300342,3.4730682679923468e-15
139.89071038251367,9.984897353668762e-16
139.98632946001365,5.095464262022944e-16
140.08207934336525,2.506256630414039e-15
140.17796030116358,4.4949362924573075e-15
140.27397260273972,7.302494093657532e-15
140.37011651816314,2.827513413130112e-15
140.46639231824417,6.8942929570979075e-15
140.56280027453673,8.740177734956527e-15
140.65934065934067,7.882393883054556e-15
140.75601374570448,5.721235186584349e-15
140.85281980742778,7.688518667180564e-15
140.949759119064,2.1961054976927634e-14
141.04683195592284,2.0224680784537914e-14
141.14403859407307,2.727036433162564e-15
141.24137931034483,3.1118234773776866e-15
141.33885438233264,5.846786735360833e-15
141.4364640883978,1.5623982583214504e-14
141.53420870767104,1.4021256423779373e-15
141.6320885200553,2.480393242090644e-14
141.73010380622836,2.3758864595414598e-14
141.8282548476454,1.1946071090239529e-15
141.92654192654192,2.88525197864053e-14
142.0249653259362,2.4641535028971924e-14
142.1235253296322,3.351312272789114e-14
142.22222222222223,8.559295643850664e-16
142.32105628908963,9.096940047444527e-14
142.42002781641168,9.647010220839715e-14
142.51913709116212,9.261721206550456e-15
142.6183844011142,2.3229535943001417e-15
142.7177700348432,2.9467162541017494e-14
142.81729428172943,5.30305257488994e-14
142.91695743196092,7.224119779428992e-14
143.0167597765363,9.449955544649916e-14
143.11670160726763,1.1831119039809238e-14
143.21678321678323,2.3324123474530847e-14
143.31700489853043,1.6428644591407542e-13
143.4173669467787,3.258586740325954e-13
143.5178696566223,5.635584617378097e-14
143.61851332398317,2.1790370668824372e-13
143.71929824561403,3.9756053996682927e-13
143.8202247191011,3.308301998353362e-13
143.92129304286718,8.117248970027749e-14
144.0225035161744,3.9065256806839916e-13
144.12385643912737,4.59770354004565e-13
144.22535211267606,1.2966300814631475e-13
144.32699083861874,1.9440966105844698e-13
144.42877291960508,4.2054439201343306e-13
144.530698659139,4.0525092040071807e-13
144.6327683615819,2.1362103808037779e-13
144.73498233215545,5.685795646303371e-13
144.83734087694484,4.383984319448507e-13
144.9398443029016,7.026691961664748e-13
145.04249291784703,5.478742056031714e-13
145.14528703047483,5.992936418541951e-13
145.24822695035462,6.290468771081471e-13
145.35131298793468,1.1318038387849325e-12
145.45454545454544,5.970290787622347e-13
145.55792466240226,4.842988177867944e-13
145.66145092460883,9.774507902926499e-13
145.76512455516016,1.209133924550022e-12
145.86894586894587,2.9745960951793796e-13
145.9729151817534,4.193838751862106e-13
146.07703281027102,8.052966911490955e-13
146.18129907209135,7.904983015778478e-13
146.28571428571428,4.07711972106089e-13
146.39027877055037,2.954471154212048e-13
146.49499284692416,1.935486318949566e-12
146.59985683607732,5.410777374926994e-12
146.7048710601719,5.911409906771458e-12
146.8100358422939,6.240915062494363e-12
146.91535150645623,2.6616701933966553e-11
147.0208183776023,6.125749791765251e-11
147.1264367816092,8.12964911487822e-11
147.23220704529115,5.0801950231960355e-11
147.33812949640287,2.486008542277505e-12
147.4442044636429,3.622126371517047e-11
147.55043227665706,2.5692493926372365e-10
147.6568132660418,4.4860949772672204e-10
147.76334776334778,3.75606592119483e-10
147.87003610108303,1.3397632671022499e-09
147.97687861271675,2.19801224322296e-09
148.08387563268258,1.042036297942434e-09
148.19102749638205,2.1069335464959756e-10
148.29833454018825,1.9983348135658472e-10
148.40579710144928,2.783736951000699e-09
148.51341551849166,7.3608379148035875e-09
148.6211901306241,5.679190300030746e-09
148.72912127814087,1.2466589107904176e-09
148.8372093023256,3.969467461025632e-09
148.94545454545454,8.39878720763636e-09
149.0538573508006,5.064559469489983e-09
149.16241806263656,2.1310048439310832e-10
149.27113702623907,1.3620108258358323e-09
149.38001458789202,1.2038092715099891e-09
149.4890510948905,1.9884241910686823e-10
149.59824689554418,2.2082496554833137e-09
149.70760233918128,9.181531296066004e-10
149.81711777615214,8.462298193539748e-10
149.9267935578331,4.7338580929517245e-09
150.03663003663004,5.2652258765389455e-09
150.1466275659824,3.742857321141535e-09
150.25678650036684,1.8407959347275706e-09
150.36710719530103,4.3122328367162066e-10
150.47759000734754,2.709407897613642e-09
150.58823529411762,2.9933533937325303e-09
150.69904341427517,8.748783275996059e-10
