"Wavelength, nm",Intensity
136.44237175216523,6.483903284139634e-24
136.53333333333333,5.150094011607821e-24
136.62441627751835,1.1301244032541888e-23
136.71562082777035,7.674800441353639e-24
136.80694722778892,1.29817536646872e-23
136.89839572192514,1.8451488226374248e-23
136.98996655518394,1.1896587828334768e-23
137.08165997322624,3.2166472632172465e-23
137.17347622237108,2.189861497909724e-23
137.26541554959786,2.5741066802058157e-23
137.35747820254863,1.7817101251210264e-23
137.4496644295302,6.318271652976517e-23
137.54197447951645,3.1014922446496845e-23
137.63440860215053,6.209368330504961e-22
137.72696704774717,7.539704899546671e-21
137.81965006729476,7.823843822893352e-20
137.9124579124579,2.432011952803564e-19
138.0053908355795,1.4276054915109474e-20
138.09844908968307,6.718495768731248e-19
138.19163292847506,3.703781285578504e-18
138.28494260634707,3.4267542913745378e-18
138.37837837837836,7.185482408506867e-19
138.47194050033806,1.8263747389244958e-17
138.5656292286874,4.305217795648164e-17
138.65944482058225,2.3621752954903147e-17
138.75338753387533,5.909018437924607e-17
138.84745762711862,4.6959526964901296e-17
138.94165535956583,3.4000761006238507e-17
139.03598099117448,2.27031156561154e-16
139.1304347826087,5.857295517139383e-16
139.22501699524133,3.9263920305596984e-16
139.31972789115645,1.0132879947941068e-15
139.4145677331518,3.0114042711556406e-15
139.50953678474113,2.8515020142120786e-15
139.60463531015677,1.4688856736474032e-15
139.69986357435198,5.232671225941666e-15
139.79522184300342,5.3933795566733856e-15
139.89071038251367,3.081841750783704e-15
139.98632946001365,7.510269091768648e-15
140.08207934336525,8.74864296377054e-15
140.17796030116358,5.748673435433458e-15
140.27397260273972,1.0027078185248068e-14
140.37011651816314,1.496338134900986e-14
140.46639231824417,1.6846064140932024e-14
140.56280027453673,2.5341167584620406e-14
140.65934065934067,3.63677812826734e-14
140.75601374570448,4.9033497512159665e-14
140.85281980742778,7.150539394425172e-14
140.949759119064,9.496147291945418e-14
141.04683195592284,1.3143889704956693e-13
141.14403859407307,1.1643565348433975e-13
141.24137931034483,1.8101541953485905e-13
141.33885438233264,2.8040173320613865e-13
141.4364640883978,1.52452235927636e-13
141.53420870767104,3.47680102434807e-13
141.6320885200553,4.59615334907927e-13
