"GDD, fs^2","Simulated RMS Width, nm"
-10000.0,198.86670149820657
-9797.979797979799,194.34266776078044
-9595.959595959597,192.0820966564804
-9393.939393939396,190.16732704403012
-9191.919191919193,187.83950829490027
-8989.898989898991,183.42655244852165
-8787.878787878788,177.86261738239028
-8585.858585858587,170.71754994301534
-8383.838383838383,163.11715775697226
-8181.818181818183,155.4850590940493
-7979.79797979798,149.8956142946152
-7777.777777777778,145.46967708361535
-7575.757575757576,142.85711511173344
-7373.737373737375,141.86738045289286
-7171.717171717173,139.1976276653884
-6969.69696969697,137.7487837616502
-6767.676767676768,138.43747064946052
-6565.656565656566,140.8360475424298
-6363.636363636364,144.27444099598333
-6161.616161616162,150.109854518182
-5959.595959595959,156.52565563325615
-5757.575757575758,160.54066817947827
-5555.555555555556,162.4616509797828
-5353.535353535353,164.63730872955307
-5151.515151515152,167.73100244335959
-4949.49494949495,167.74994886520454
-4747.474747474748,171.27306947877318
-4545.454545454546,175.71947755604612
-4343.434343434344,179.66696246154672
-4141.414141414141,182.60678166221436
-3939.3939393939395,184.09231031769673
-3737.3737373737376,186.06883612668565
-3535.3535353535353,188.20890089339179
-3333.333333333334,192.66852996169152
-3131.313131313131,200.039005619631
-2929.29292929293,208.6244457101677
-2727.272727272727,218.37905943787163
-2525.2525252525256,227.61175717781455
-2323.232323232323,235.742275092012
-2121.2121212121215,245.2845692934559
-1919.1919191919187,252.14729422362106
-1717.1717171717173,265.84213554288374
-1515.1515151515146,327.28133352290445
-1313.1313131313132,426.2890719825394
-1111.1111111111104,491.10032677754447
-909.090909090909,572.6509714088642
-707.0707070707062,680.4948580997096
-505.05050505050485,756.2914118667113
-303.03030303030346,802.0969444376743
-101.01010101010068,822.9080690367226
101.01010101010068,815.4102327217917
303.03030303030346,784.371600252408
505.05050505050485,720.3715940854837
707.0707070707076,611.5740686681253
909.090909090909,522.8549515144251
1111.1111111111118,449.07444903624634
1313.1313131313132,324.2274556517094
1515.151515151516,264.65583355382034
1717.1717171717173,240.56508656273942
1919.19191919192,218.89790359501953
2121.2121212121215,210.90342938769962
2323.2323232323242,209.50194356280232
2525.2525252525256,202.569863925333
2727.2727272727284,195.78321215665673
2929.29292929293,189.78176579975494
3131.313131313131,182.33959872547481
3333.3333333333326,178.9362618093812
3535.3535353535367,178.38577585883695
3737.373737373738,177.94774889743036
3939.3939393939395,174.8270457028051
4141.414141414141,170.55042003317303
4343.4343434343455,166.46452626175437
4545.454545454547,163.8619732458955
4747.474747474748,163.39589421420558
4949.49494949495,162.14989153517206
5151.515151515154,161.48716886169169
5353.535353535355,159.28188173890115
5555.555555555557,154.7725358174874
5757.575757575758,150.6864872191443
5959.595959595962,147.66460470131577
6161.6161616161635,142.07897549838938
6363.636363636365,139.1475611153783
6565.656565656566,138.7655112056078
6767.676767676768,138.2480088033324
6969.696969696972,136.82735706720987
7171.717171717173,136.39949868535177
7373.737373737375,137.4284174499493
7575.757575757576,139.59733803259414
7777.77777777778,145.91762756014842
7979.7979797979815,154.8243815398609
8181.818181818183,163.11101520793915
8383.838383838383,169.19406105429718
8585.858585858588,174.94534618736793
8787.87878787879,177.44320932398531
8989.898989898991,180.47880323100608
9191.919191919193,185.81916877070546
9393.939393939394,192.73290564161454
9595.959595959597,200.59267375055478
9797.979797979799,207.05482644705177
10000.0,212.16946717204027
