"GDD, fs^2","Simulated RMS Width, nm"
-10000.0,198.86660706857697
-9797.979797979799,194.34269076429626
-9595.959595959597,192.08213527542208
-9393.939393939396,190.1669563991517
-9191.919191919193,187.83971050302577
-8989.898989898991,183.42651051738662
-8787.878787878788,177.86223780819003
-8585.858585858587,170.7177002446301
-8383.838383838383,163.11714577774083
-8181.818181818183,155.48500831794735
-7979.79797979798,149.89597050730208
-7777.777777777778,145.4699384686355
-7575.757575757576,142.8568922452604
-7373.737373737375,141.86731369721517
-7171.717171717173,139.19755042221144
-6969.69696969697,137.74857202365126
-6767.676767676768,138.43718582984897
-6565.656565656566,140.83624803718453
-6363.636363636364,144.27474862945834
-6161.616161616162,150.1098661216723
-5959.595959595959,156.52563117968361
-5757.575757575758,160.5410659163639
-5555.555555555556,162.46135359525022
-5353.535353535353,164.63729626464368
-5151.515151515152,167.73155090250253
-4949.49494949495,167.74961996761667
-4747.474747474748,171.27316987784312
-4545.454545454546,175.71915500491545
-4343.434343434344,179.66638545003082
-4141.414141414141,182.60654025334537
-3939.3939393939395,184.09255494761402
-3737.3737373737376,186.06890080794892
-3535.3535353535353,188.2089350667464
-3333.333333333334,192.66855204838566
-3131.313131313131,200.03802191859714
-2929.29292929293,208.62526738393737
-2727.272727272727,218.37932550998335
-2525.2525252525256,227.61195371100018
-2323.232323232323,235.74225900450588
-2121.2121212121215,245.284661202552
-1919.1919191919187,252.14704406054872
-1717.1717171717173,265.84212254206403
-1515.1515151515146,327.28203341377395
-1313.1313131313132,426.2893180154501
-1111.1111111111104,491.0999187538025
-909.090909090909,572.6500693308753
-707.0707070707062,680.494765805095
-505.05050505050485,756.2913601244597
-303.03030303030346,802.0964004618774
-101.01010101010068,822.9084523168522
101.01010101010068,815.4102660789129
303.03030303030346,784.3714948956897
505.05050505050485,720.3711690541247
707.0707070707076,611.5742159241507
909.090909090909,522.8549354184515
1111.1111111111118,449.0742801057919
1313.1313131313132,324.2280275113817
1515.151515151516,264.65554104877896
1717.1717171717173,240.56515775005778
1919.19191919192,218.89764383556783
2121.2121212121215,210.9032282947158
2323.2323232323242,209.50208186540317
2525.2525252525256,202.57005104768385
2727.2727272727284,195.78322515232173
2929.29292929293,189.78231584566032
3131.313131313131,182.33942058299965
3333.3333333333326,178.93638358920518
3535.3535353535367,178.38614016672497
3737.373737373738,177.9479961009827
3939.3939393939395,174.82718913074743
4141.414141414141,170.55059658509322
4343.4343434343455,166.46442446627495
4545.454545454547,163.86185916648125
4747.474747474748,163.39565686896358
4949.49494949495,162.1502638296602
5151.515151515154,161.48759123184323
5353.535353535355,159.28164829186554
5555.555555555557,154.77202517030017
5757.575757575758,150.68632740700968
5959.595959595962,147.6643319888838
6161.6161616161635,142.07910299296262
6363.636363636365,139.14717833978747
6565.656565656566,138.7658523508321
6767.676767676768,138.24805847148818
6969.696969696972,136.8271393279064
7171.717171717173,136.39981120239378
7373.737373737375,137.42821645556324
7575.757575757576,139.5974385095016
7777.77777777778,145.9178078909487
7979.7979797979815,154.82412377949154
8181.818181818183,163.11101149074844
8383.838383838383,169.19420890007137
8585.858585858588,174.94563145353524
8787.87878787879,177.4432096668647
8989.898989898991,180.47880277284165
9191.919191919193,185.819013395333
9393.939393939394,192.7332733883157
9595.959595959597,200.59274997778968
9797.979797979799,207.05466282744612
10000.0,212.16947612015372
