"GDD, fs^2","Simulated RMS Width, nm"
-5000.0,166.53921121697238
-4898.989898989899,168.66918140239954
-4797.979797979799,170.40012980245808
-4696.969696969698,172.4958689985593
-4595.959595959596,174.7094646698858
-4494.949494949496,176.23146583716874
-4393.939393939394,179.18985519736668
-4292.929292929293,180.42806535692011
-4191.919191919192,182.60234837221762
-4090.9090909090914,183.51275528385952
-3989.89898989899,184.3900507158001
-3888.888888888889,185.14731915325336
-3787.878787878788,184.93353539850878
-3686.8686868686873,186.4146059831307
-3585.8585858585866,187.7084911507804
-3484.848484848485,189.05179966679307
-3383.838383838384,191.78966492464124
-3282.828282828283,194.78396839228847
-3181.818181818182,198.88298532954545
-3080.808080808081,202.81511399846744
-2979.7979797979797,207.14808960594524
-2878.787878787879,212.17881959058155
-2777.777777777778,216.12160826565972
-2676.7676767676767,220.64572656091323
-2575.757575757576,225.2688603757496
-2474.747474747475,229.4865793006295
-2373.737373737374,234.5414590793043
-2272.727272727273,239.17265055498834
-2171.717171717172,242.49901452951303
-2070.7070707070707,247.82102507103178
-1969.6969696969697,250.6743383016137
-1868.6868686868688,254.0248664321664
-1767.6767676767677,259.0665166468299
-1666.666666666667,274.3456117930677
-1565.6565656565656,305.2895334567863
-1464.646464646465,352.62232695053336
-1363.6363636363635,405.36944851324796
-1262.6262626262628,445.8797319493814
-1161.6161616161614,476.2637532373502
-1060.6060606060607,506.272246005653
-959.5959595959594,546.3960349195248
-858.5858585858587,600.3671949430612
-757.5757575757573,656.1942876061604
-656.5656565656566,703.7698902803947
-555.5555555555552,741.9863782204633
-454.5454545454545,769.8109817013049
-353.5353535353531,792.6863222891612
-252.52525252525243,808.8134001700079
-151.51515151515173,820.0743900991488
-50.50505050505034,823.0562046047917
50.50505050505034,822.4541251754224
151.51515151515173,809.9859392265298
252.52525252525243,794.5469830297326
353.5353535353538,771.599145591453
454.5454545454545,741.3852582899674
555.5555555555559,696.2612792198154
656.5656565656566,641.0201861961461
757.575757575758,582.5157012869707
858.5858585858587,539.2255782028932
959.59595959596,507.5255952755622
1060.6060606060607,472.53101432271865
1161.6161616161621,417.1907076506235
1262.6262626262628,353.5114947918815
1363.6363636363642,299.641199268782
1464.646464646465,271.14187667012203
1565.6565656565656,257.9728937061537
1666.6666666666663,246.88263486019258
1767.6767676767683,234.19734964992068
1868.686868686869,223.00202214711422
1969.6969696969697,214.91876584572626
2070.7070707070707,212.55444962040855
2171.7171717171727,211.78991816191106
2272.7272727272734,209.39883775411667
2373.737373737374,207.5409484597376
2474.747474747475,203.96383931883506
2575.757575757577,201.2522302908696
2676.7676767676776,197.71242419988604
2777.7777777777783,193.86337482794534
2878.787878787879,190.04716605667883
2979.797979797981,185.69055577097947
3080.8080808080817,182.93392571026257
3181.8181818181824,184.1301956301692
3282.828282828283,181.13215204267885
3383.838383838384,178.98840353131246
3484.848484848486,179.49903322572072
3585.8585858585866,178.85401041623157
3686.8686868686873,178.01544326138372
3787.878787878788,176.7666434368569
3888.88888888889,176.19372788631307
3989.8989898989907,174.0698225666697
4090.9090909090914,173.28871456458185
4191.919191919192,170.19486378695262
4292.929292929294,168.0969133830366
4393.939393939395,166.26227054670326
4494.949494949496,164.17016597129998
4595.959595959596,163.7516264072501
4696.969696969697,163.0107969329848
4797.979797979799,162.61537407469885
4898.989898989899,162.53351547078717
5000.0,161.4958897487765
